Date,Open,High,Low,Close,Volume,OpenInt
20050225,11.15,11.358,11.15,11.3,1138800,0
20050228,11.422,11.638,11.3,11.378,553200,0
20050301,11.332,11.428,11.228,11.418,634000,0
20050302,11.425,11.475,11.385,11.388,571600,0
20050303,11.4,11.462,11.392,11.438,694800,0
20050304,11.485,11.612,11.425,11.612,452000,0
20050307,11.642,11.815,11.602,11.752,681200,0
20050308,11.732,11.738,11.625,11.678,608400,0
20050309,11.638,11.718,11.538,11.54,669200,0
20050310,11.488,11.515,11.03,11.16,1021600,0
20050311,11.2,11.375,11.165,11.288,1286800,0
20050314,11.342,11.47,11.315,11.462,586800,0
20050315,11.525,11.625,11.362,11.5,473600,0
20050316,11.465,11.48,11.375,11.422,503200,0
20050317,11.4,11.4,10.9,11.128,1572000,0
20050318,11.438,11.45,11.188,11.232,647200,0
20050321,11.172,11.33,11.055,11.158,305600,0
20050322,11.15,11.5,11.15,11.358,480800,0
20050323,11.258,11.258,11.02,11.05,359600,0
20050324,11.1,11.138,11.018,11.092,668800,0
20050328,11.092,11.428,11,11.365,801600,0
20050329,11.35,11.4,11.042,11.05,733600,0
20050330,11.025,11.22,10.95,11.052,395200,0
20050331,11,11.24,10.962,11.102,316800,0
20050401,11.125,11.27,10.932,11.068,338400,0
20050404,11.055,11.145,11.002,11.07,399600,0
20050405,11.078,11.098,11,11.002,388400,0
20050406,11.12,11.185,11,11.048,239200,0
20050407,11.025,11.155,11,11.155,312400,0
20050408,10.775,10.788,10.125,10.375,2654400,0
20050411,10.378,10.768,10.265,10.57,1111600,0
20050412,10.5,10.5,10.2,10.438,750400,0
20050413,10.412,10.412,10.082,10.178,400400,0
20050414,10.078,10.078,9.952,10.075,768000,0
20050415,10.075,10.288,9.75,9.858,898800,0
20050418,9.86,10.03,9.838,10.028,647600,0
20050419,10.065,10.3,10.052,10.275,440000,0
20050420,10.272,10.44,10.158,10.25,755600,0
20050421,10.272,10.425,10.272,10.425,383200,0
20050422,10.425,10.425,10.012,10.125,1018400,0
20050425,10.138,10.435,10.138,10.378,574400,0
20050426,10.378,10.618,10.235,10.298,499200,0
20050427,10.262,10.288,9.925,10.112,450400,0
20050428,10.112,10.115,9.865,9.982,1143200,0
20050429,9.988,10.088,9.908,10.045,976000,0
20050502,10.088,10.092,9.878,10.085,884400,0
20050503,10.002,10.005,9.875,9.905,791200,0
20050504,9.908,9.965,9.825,9.93,411600,0
20050505,9.888,10,9.868,9.978,370800,0
20050506,10.162,10.21,10.002,10.132,381200,0
20050509,10.112,10.112,9.938,10.068,483600,0
20050510,10.068,10.085,9.875,9.92,488400,0
20050511,9.9,9.962,9.85,9.892,397200,0
20050512,9.895,9.915,9.755,9.788,833200,0
20050513,9.75,9.75,9.485,9.565,571600,0
20050516,9.53,9.688,9.505,9.662,452000,0
20050517,9.672,9.75,9.628,9.748,426800,0
20050518,9.748,10.02,9.725,9.925,448400,0
20050519,9.938,10.028,9.788,9.818,340000,0
20050520,9.792,9.792,9.555,9.632,616000,0
20050523,9.638,9.788,9.612,9.62,657600,0
20050524,9.625,9.625,9.4125,9.51,604400,0
20050525,9.455,9.455,9.1175,9.19,956400,0
20050526,9.1825,9.615,9.1825,9.55,2088400,0
20050527,9.575,9.685,9.562,9.615,382000,0
20050531,9.618,9.638,9.552,9.638,591200,0
