Date,Open,High,Low,Close,Volume,OpenInt
20060131,14.138,14.138,14.138,14.138,0,0
20060201,16.293,17.178,15.94,16.521,18794444,0
20060202,16.604,17,15.799,16.464,3947716,0
20060203,16.774,16.895,16.116,16.789,1165244,0
20060206,16.966,16.966,16.527,16.875,878073,0
20060207,16.859,16.859,15.905,16.068,1264552,0
20060208,15.975,15.975,15.212,15.686,1457087,0
20060209,15.975,16.328,15.552,15.622,1564319,0
20060210,15.658,15.969,15.481,15.87,388463,0
20060213,15.885,15.885,15.368,15.404,506019,0
20060214,15.552,15.552,15.234,15.333,1158456,0
20060215,15.339,15.566,15.234,15.446,661348,0
20060216,15.586,15.962,15.552,15.905,518469,0
20060217,16.259,16.259,16.089,16.202,591749,0
20060221,16.188,16.321,16.153,16.153,667573,0
20060222,16.124,16.421,16.116,16.35,633479,0
20060223,16.47,16.611,16.344,16.527,501209,0
20060224,16.576,16.703,16.506,16.703,191686,0
20060227,16.753,16.789,16.321,16.527,171458,0
20060228,16.464,16.966,16.316,16.647,688227,0
20060301,16.753,17.093,16.541,16.859,774802,0
20060302,17,17.15,16.683,16.804,760658,0
20060303,17.142,17.319,16.675,16.93,861522,0
20060306,17.036,17.835,16.909,17.008,1225792,0
20060307,17.142,17.142,16.133,16.222,686812,0
20060308,16.434,16.506,16.188,16.286,586372,0
20060309,16.4,16.859,16.4,16.513,861098,0
20060310,16.662,17.185,16.591,17.115,520307,0
20060313,17.426,17.856,17.115,17.652,486922,0
20060314,17.678,17.743,17.354,17.631,965640,0
20060315,17.674,18.097,17.637,18.011,955030,0
20060316,18.097,19.015,18.097,19.015,1022223,0
20060317,19.44,19.512,18.804,19.036,723735,0
20060320,19.157,19.157,18.768,18.874,343620,0
20060321,19.05,19.05,18.343,18.422,429629,0
20060322,18.351,18.613,17.869,18.097,681720,0
20060323,18.203,18.556,18.167,18.315,872270,0
20060324,18.592,18.804,18.28,18.804,273310,0
20060327,18.874,18.981,18.556,18.839,651869,0
20060328,19.122,19.256,18.859,19.05,972007,0
20060329,19.087,20.132,19.087,20.117,516914,0
20060330,20.748,21.207,19.724,19.793,1578039,0
20060331,20.323,20.501,19.814,20.04,569680,0
20060403,20.443,20.493,19.687,19.724,576470,0
20060404,19.865,19.998,19.652,19.808,440098,0
20060405,19.85,19.97,19.617,19.793,667994,0
20060406,20.323,20.501,19.935,20.139,819362,0
20060407,20.238,20.287,19.587,19.716,487770,0
20060410,20.006,20.04,19.546,19.814,785836,0
20060411,19.97,20.167,19.687,19.778,536433,0
20060412,19.865,19.935,19.708,19.793,143587,0
20060413,19.9,19.935,19.764,19.821,142455,0
20060417,19.9,19.963,19.764,19.793,468814,0
20060418,19.793,19.829,19.724,19.772,889248,0
20060419,19.793,19.9,19.369,19.512,594576,0
20060420,19.476,19.476,18.592,18.91,830540,0
20060421,18.946,19.263,18.592,19.122,1116582,0
20060424,19.229,19.793,19.229,19.764,742548,0
20060425,19.808,19.948,19.758,19.758,291418,0
20060426,19.829,19.85,19.652,19.758,232995,0
20060427,19.751,19.751,18.91,19.015,474333,0
20060428,19.015,19.015,18.874,18.889,334705,0
20060501,19.157,19.617,18.882,19.045,609714,0
20060502,19.157,19.193,18.775,18.783,224364,0
20060503,18.91,19.087,18.796,18.804,330177,0
20060504,18.804,18.83,18.167,18.209,425809,0
20060505,18.309,18.719,18.309,18.698,279395,0
20060508,18.733,18.804,18.394,18.407,110342,0
20060509,18.52,18.592,18.273,18.273,234829,0
20060510,18.28,18.343,18.097,18.203,400770,0
20060511,18.216,18.238,17.899,18.019,283636,0
20060512,17.97,17.97,17.248,17.531,481407,0
