Date,Open,High,Low,Close,Volume,OpenInt
20180104,27.47,27.665,27.47,27.57,4284,0
20180105,27.35,27.35,27.35,27.35,1000,0
20180108,26.61,26.61,26.61,26.61,200,0
20180110,26.61,26.61,26.61,26.61,415,0
20180116,28.88,29.01,28.79,29.005,627,0
20180117,29.0199,29.0199,29.0199,29.0199,345,0
20180118,29.031,29.031,29.031,29.031,215,0
20180122,29.05,29.05,29.05,29.05,250,0
20180123,29.55,29.55,29.55,29.55,243,0
20180124,30.445,30.55,30.428,30.55,1065,0
20180125,31.37,31.62,29.3322,31.62,2137,0
20180126,30.61,30.8601,30.61,30.8399,1328,0
20180129,29.95,30.34,29.95,30.34,582,0
20180131,30.97,31.17,30.35,30.575,1301,0
20180202,30.92,30.92,30.918,30.918,2916,0
20180205,30.64,30.64,30.41,30.44,1502,0
20180206,29.85,30.11,29.85,30.11,409,0
20180207,29.09,29.19,29.09,29.19,1914,0
20180208,28.9,28.9,28.9,28.9,270,0
20180209,28.66,30,27.61,28.83,3441,0
20180212,29.22,29.33,29.22,29.33,2105,0
20180213,30.03,30.03,29.79,29.88,6543,0
20180214,30.4,30.79,30.33,30.79,3729,0
20180216,30.41,30.41,30.41,30.41,275,0
20180220,29.68,29.68,29.6748,29.6748,3030,0
20180221,29.54,29.545,29.52,29.52,4477,0
20180222,29.6889,29.69,29.44,29.4401,10136,0
20180223,29.13,29.16,29.12,29.16,2593,0
20180226,29.11,29.27,29.11,29.27,3848,0
20180227,28.55,28.55,28.55,28.55,220,0
20180228,28.14,28.32,28.14,28.26,858,0
20180301,28.16,28.47,28.16,28.47,625,0
20180305,29.38,29.38,29.38,29.38,103,0
20180306,30.11,30.11,30.11,30.11,151,0
20180308,29.25,29.26,29.17,29.17,4866,0
20180312,29.23,29.38,29.23,29.38,720,0
20180313,29.92,29.92,29.92,29.92,992,0
20180314,29.52,29.52,29.52,29.52,100,0
20180315,29.05,29.07,29.05,29.07,3079,0
20180319,29.21,29.21,29.21,29.21,131,0
20180320,28.79,28.79,28.57,28.57,402,0
