Date,Open,High,Low,Close,Volume,OpenInt
20050225,19.494,19.802,19.458,19.802,31373,0
20050228,19.737,19.856,19.582,19.641,60149,0
20050301,19.679,20.024,19.679,19.986,28010,0
20050302,20.052,20.072,19.939,20.013,26169,0
20050303,20.058,20.32,19.926,20.314,36121,0
20050304,20.351,20.503,20.328,20.468,25408,0
20050307,20.516,20.909,20.503,20.678,30152,0
20050308,20.633,20.712,20.462,20.462,33367,0
20050309,20.614,20.614,19.986,19.986,45152,0
20050310,19.986,20.176,19.777,19.791,26937,0
20050311,19.797,19.994,19.737,19.802,32603,0
20050314,19.304,19.569,19.304,19.449,25255,0
20050315,19.536,19.771,19.442,19.472,30152,0
20050316,19.339,19.442,19.145,19.176,13469,0
20050317,19.145,19.359,19.109,19.145,23112,0
20050318,19.176,19.255,18.887,19.249,89846,0
20050321,19.249,19.249,18.832,18.974,28467,0
20050322,18.989,19.012,18.424,18.502,33977,0
20050323,18.457,18.457,18.163,18.333,48365,0
20050324,18.393,18.536,18.393,18.457,20202,0
20050328,18.587,18.629,18.366,18.372,21580,0
20050329,18.366,18.678,18.295,18.372,24027,0
20050330,18.457,18.523,18.372,18.523,30309,0
20050331,18.623,18.623,18.372,18.457,34590,0
20050401,18.523,18.576,17.877,17.946,79890,0
20050404,17.926,18.489,17.926,18.4,32603,0
20050405,18.457,18.517,18.36,18.465,15612,0
20050406,18.502,18.543,18.352,18.485,29082,0
20050407,18.424,18.569,18.295,18.509,45460,0
20050408,18.556,18.556,18.36,18.378,35816,0
20050411,18.36,18.523,18.143,18.424,27095,0
20050412,18.424,18.556,18.36,18.529,62291,0
20050413,18.556,18.691,18.465,18.684,52803,0
20050414,18.684,19.047,18.629,18.734,33515,0
20050415,18.734,19.102,18.623,18.781,44998,0
20050418,18.882,19.047,18.72,18.952,56019,0
20050419,19.018,19.221,19.007,19.214,49439,0
20050420,19.165,19.228,18.933,19.176,47598,0
20050421,19.243,19.274,18.882,19.202,39180,0
20050422,19.339,20.363,19.334,20.239,184590,0
20050425,20.253,20.49,20.169,20.448,81884,0
20050426,20.909,21.402,20.745,21.163,181524,0
20050427,21.101,21.561,21.083,21.269,108974,0
20050428,21.333,21.645,21.269,21.396,86325,0
20050429,21.462,21.47,21.235,21.396,53566,0
20050502,21.462,21.596,21.186,21.522,84180,0
20050503,21.626,22.051,21.462,21.966,95659,0
20050504,21.888,22.084,21.82,21.959,49742,0
20050505,22.057,22.077,21.632,21.862,74078,0
20050506,21.862,21.971,21.439,21.888,44384,0
20050509,21.914,22.345,21.881,22.306,56477,0
20050510,22.298,22.376,21.985,22.376,69800,0
20050511,22.356,22.444,22.184,22.431,41324,0
20050512,22.063,22.279,22.063,22.213,301826,0
20050513,22.575,23.168,22.515,22.527,199891,0
20050516,22.509,22.934,22.454,22.671,82956,0
20050517,22.802,22.995,22.599,22.966,127346,0
20050518,23.064,23.522,22.989,23.403,154280,0
20050519,23.454,23.588,23.273,23.454,74995,0
20050520,22.868,23.133,22.671,23.064,140047,0
20050523,23.227,23.812,23.227,23.776,141730,0
20050524,23.75,23.75,23.202,23.227,169743,0
20050525,23.161,23.588,22.41,23.39,173107,0
20050526,23.39,24.261,23.39,24.137,193005,0
20050527,24.298,24.298,23.882,23.882,63824,0
20050531,23.976,24.266,23.92,24.153,125504,0
20050601,24.318,24.337,24.109,24.2,123057,0
20050602,24.298,24.304,24.153,24.173,63215,0
20050603,24.088,24.271,24.011,24.025,72398,0
20050606,23.94,24.952,23.848,24.826,180452,0
20050607,24.928,25.299,24.566,24.82,130557,0
20050608,24.89,25.12,24.755,24.826,101019,0
20050609,24.826,25.553,24.664,25.421,64745,0
20050610,25.154,25.299,24.935,25.023,64589,0
20050613,25.077,25.092,24.897,24.941,95046,0
20050614,24.941,25.376,24.826,25.376,138824,0
20050615,25.383,25.476,25.183,25.299,223920,0
20050616,25.07,25.07,24.233,24.978,266013,0
20050617,24.978,25.016,24.696,24.807,162547,0
20050620,24.645,24.672,24.291,24.343,101320,0
20050621,24.24,24.271,23.705,24.094,136832,0
20050622,24.142,25.108,24.101,24.796,100860,0
20050623,24.803,24.826,24.384,24.475,79747,0
20050624,24.48,24.862,24.371,24.862,116170,0
20050627,24.826,24.826,24.494,24.677,37498,0
20050628,24.677,25.612,24.633,25.612,123057,0
20050629,25.483,25.73,25.383,25.643,104385,0
20050630,25.643,25.715,24.89,24.897,88316,0
20050701,24.826,24.89,24.304,24.744,46986,0
20050705,24.782,25.546,24.782,25.512,74995,0
20050706,25.512,25.512,25.231,25.273,31373,0
20050707,25.154,25.483,24.702,25.483,45913,0
20050708,25.483,26.136,25.206,26.136,54335,0
20050711,26.067,26.659,26.004,26.659,87240,0
20050712,26.529,26.533,25.88,26.089,53419,0
20050713,26.035,26.081,25.768,25.951,30152,0
20050714,25.58,25.742,24.874,24.971,63520,0
20050715,24.696,24.952,24.5,24.952,67958,0
20050718,24.958,25.092,24.826,24.826,28159,0
20050719,24.862,24.984,24.591,24.921,33367,0
20050720,24.958,25.273,24.776,25.22,41174,0
20050721,25.12,25.194,24.619,24.657,40559,0
20050722,24.5,24.633,24.253,24.337,47905,0
20050725,24.261,24.555,24.142,24.153,58470,0
20050726,24.076,24.253,23.953,23.959,41632,0
20050727,23.893,23.893,22.639,22.75,140201,0
20050728,22.454,22.515,21.606,22.194,302441,0
20050729,22.326,23.146,22.298,23.011,97955,0
20050801,23.079,23.285,22.868,22.868,175859,0
20050802,22.802,23.959,22.802,23.906,96735,0
20050803,23.882,24.109,23.357,23.357,73465,0
20050804,23.339,23.722,23.127,23.522,93211,0
20050805,23.454,23.489,22.326,22.474,86325,0
20050808,22.509,22.541,21.896,22.213,180452,0
20050809,22.117,22.566,22.117,22.213,52803,0
20050810,22.279,22.705,21.896,21.933,111579,0
20050811,21.914,22.369,21.914,22.363,111579,0
20050812,22.312,22.423,22.02,22.246,44237,0
20050815,22.286,22.339,22.014,22.213,57241,0
20050816,22.146,22.292,22.084,22.153,41324,0
20050817,22.117,22.376,22.014,22.036,44384,0
20050818,22.02,22.292,21.896,22.091,49742,0
20050819,22.184,22.467,22.077,22.077,58775,0
20050822,22.051,22.467,21.896,22.467,48214,0
20050823,22.541,22.541,22.184,22.246,53111,0
20050824,22.246,22.587,22.194,22.339,23728,0
20050825,22.339,22.339,21.951,22.146,33977,0
20050826,22.117,22.26,21.896,21.904,43011,0
20050829,21.896,22.345,21.896,22.117,49591,0
20050830,22.146,22.273,21.896,22.051,58315,0
20050831,22.184,22.541,21.928,22.535,92290,0
20050901,22.665,22.898,22.439,22.802,39030,0
20050902,22.834,23.195,22.718,23.161,35662,0
20050906,23.146,24.148,23.146,24.056,68418,0
20050907,24.011,24.076,23.736,23.959,50665,0
20050908,23.932,24.064,23.423,23.423,41937,0
20050909,23.423,23.678,23.325,23.454,30760,0
20050912,23.522,23.658,22.984,23.017,66118,0
20050913,22.934,22.934,22.057,22.153,93821,0
20050914,22.153,22.221,21.68,21.854,57701,0
20050915,21.92,22.184,21.868,22.02,71784,0
20050916,22.117,22.416,22.051,22.416,86629,0
20050919,22.345,22.431,22.084,22.121,29996,0
20050920,22.213,22.279,21.834,21.888,29232,0
20050921,21.82,21.854,21.666,21.723,61222,0
20050922,21.757,21.854,21.528,21.82,43774,0
20050923,21.757,21.896,21.674,21.82,35358,0
20050926,21.92,22.014,21.528,21.658,41018,0
20050927,21.79,21.868,21.561,21.826,51273,0
20050928,21.896,21.896,21.547,21.692,89384,0
20050929,21.73,21.862,21.528,21.674,75608,0
20050930,21.757,21.779,21.528,21.723,84790,0
20051003,21.82,22.063,21.82,22.057,46222,0
20051004,22.146,22.153,21.515,21.515,97646,0
20051005,21.561,21.685,21.481,21.534,76681,0
20051006,21.528,21.752,21.474,21.581,102393,0
20051007,21.495,21.68,21.47,21.596,79747,0
20051010,21.626,21.626,21.037,21.156,72398,0
20051011,21.101,21.2,20.482,20.614,78521,0
20051012,20.614,20.698,20.28,20.498,176472,0
20051013,20.431,20.817,20.351,20.745,72547,0
20051014,20.767,21.151,20.728,21.059,48365,0
20051017,21.037,21.066,20.683,20.817,31528,0
20051018,20.874,21.059,20.498,20.618,41018,0
20051019,20.614,21.25,20.253,21.25,52496,0
20051020,21.17,21.424,21.071,21.13,131475,0
20051021,21.2,21.626,21.091,21.265,119231,0
20051024,21.296,21.561,21.221,21.528,58315,0
20051025,21.528,21.73,21.402,21.73,52496,0
20051026,21.73,21.92,21.367,21.424,84642,0
20051027,21.367,21.367,20.712,20.796,57856,0
20051028,20.874,21.372,20.874,21.348,33674,0
20051031,21.348,21.601,21.037,21.269,66579,0
20051101,21.17,21.378,20.802,20.849,91832,0
20051102,20.849,21.193,20.809,21.163,45152,0
20051103,21.2,21.528,21.186,21.304,47142,0
20051104,21.269,21.283,20.817,20.993,31225,0
20051107,21.006,21.658,20.947,20.958,56937,0
20051108,20.972,21.071,20.767,20.859,44384,0
20051109,20.972,21.539,20.934,21.353,53878,0
20051110,21.312,21.632,21.272,21.611,86629,0
20051111,21.611,21.723,21.581,21.708,29996,0
20051114,21.708,21.826,21.626,21.757,75154,0
20051115,21.723,21.764,21.235,21.257,51731,0
20051116,21.25,21.372,21.175,21.348,44998,0
20051117,21.433,21.495,21.333,21.433,45759,0
20051118,21.596,21.68,21.522,21.611,23873,0
20051121,21.561,22.051,21.495,22.03,18518,0
20051122,22.024,22.547,21.881,22.467,50202,0
20051123,22.41,22.454,22.312,22.376,18978,0
20051125,22.279,22.286,22.239,22.252,4283,0
20051128,22.213,22.306,21.82,21.888,29082,0
20051129,21.79,21.834,21.528,21.619,36580,0
20051130,21.528,21.723,21.528,21.651,55866,0
20051201,21.723,22.423,21.723,22.312,34895,0
20051202,22.326,22.326,21.92,22.194,54792,0
20051205,22.194,22.279,22.043,22.14,55711,0
20051206,22.213,22.312,22.077,22.162,41632,0
20051207,22.17,22.279,22.051,22.213,41479,0
20051208,22.14,22.279,22.091,22.213,24638,0
20051209,22.279,22.46,22.077,22.45,38109,0
20051212,22.474,22.474,21.896,21.999,70555,0
20051213,22.02,22.17,21.888,21.92,77142,0
20051214,21.658,21.692,21.396,21.462,32905,0
20051215,21.462,21.47,20.683,20.809,66885,0
20051216,20.809,20.809,20.32,20.436,167900,0
20051219,20.534,20.734,20.287,20.351,65356,0
20051220,20.351,20.516,20.28,20.436,57550,0
20051221,20.436,20.888,20.436,20.745,35044,0
20051222,20.678,20.745,20.51,20.618,89234,0
20051223,20.582,20.774,20.582,20.764,34895,0
20051227,20.678,20.867,20.419,20.427,48214,0
20051228,20.516,20.618,20.412,20.456,21121,0
20051229,20.392,20.468,20.351,20.456,44690,0
20051230,20.522,20.582,20.351,20.476,40559,0
20060103,20.607,21,20.468,20.958,33830,0
20060104,20.831,21.175,20.745,21.175,31225,0
20060105,21.296,21.402,21.221,21.402,29543,0
20060106,21.503,21.645,21.424,21.553,40715,0
20060109,21.561,21.611,21.325,21.534,41781,0
20060110,21.611,21.896,21.402,21.79,47446,0
20060111,21.79,21.854,21.433,21.674,41174,0
20060112,21.638,21.651,21.402,21.528,19134,0
20060113,21.561,21.651,21.457,21.626,40559,0
20060117,21.73,21.73,21.276,21.283,40559,0
20060118,21.396,21.561,21.17,21.283,24182,0
20060119,21.235,21.73,21.235,21.73,37498,0
20060120,21.888,21.993,21.703,21.904,48214,0
20060123,22.02,22.209,21.979,22.117,54183,0
20060124,22.162,22.26,22.105,22.221,122445,0
20060125,22.312,22.369,21.985,22.228,71479,0
20060126,22.312,22.606,22.292,22.587,40715,0
20060127,22.639,22.73,22.566,22.73,45913,0
20060130,22.683,22.757,22.502,22.509,28010,0
20060131,22.213,22.808,22.209,22.808,44846,0
20060201,22.745,22.934,22.575,22.575,55866,0
20060202,22.509,22.509,22.178,22.298,54792,0
20060203,22.213,22.213,22.02,22.105,32139,0
20060206,22.02,22.246,21.933,22.246,23112,0
20060207,22.246,22.356,22.146,22.298,38109,0
20060208,22.267,22.41,22.194,22.41,27702,0
20060209,22.474,22.474,22.213,22.228,23112,0
20060210,22.178,22.41,22.117,22.319,29996,0
20060213,22.319,22.4,22.178,22.356,35966,0
20060214,22.474,22.802,22.383,22.722,33674,0
20060215,22.606,22.861,22.575,22.849,49131,0
20060216,22.868,22.966,22.705,22.966,44384,0
20060217,23.03,23.03,22.738,22.738,42856,0
20060221,22.802,22.868,22.632,22.788,48978,0
20060222,22.788,23.079,22.738,23.079,31373,0
20060223,23.072,23.072,22.841,22.868,51430,0
20060224,22.834,23.017,22.738,23.003,53878,0
20060227,23.011,23.153,22.984,23.038,39030,0
20060228,23.038,23.097,22.92,23.03,34895,0
20060301,23.064,23.476,22.974,23.454,29385,0
20060302,23.454,23.544,23.352,23.417,52041,0
20060303,23.37,23.776,23.247,23.75,43011,0
20060306,23.756,23.809,23.55,23.626,49439,0
20060307,23.692,23.692,23.423,23.55,30613,0
20060308,23.522,23.588,23.195,23.544,46684,0
20060309,23.544,23.913,23.537,23.866,34590,0
20060310,23.866,24.038,23.82,23.998,31835,0
20060313,24.076,24.443,24.076,24.207,52041,0
20060314,23.842,23.976,23.613,23.976,37498,0
20060315,23.913,24.137,23.842,24.137,36580,0
20060316,24.173,24.207,23.976,24.011,37959,0
