Date,Open,High,Low,Close,Volume,OpenInt
20121207,19.952,21.09,19.821,20.554,15430073,0
20121210,20.29,20.534,20.21,20.371,944159,0
20121211,20.326,20.775,20.237,20.431,517131,0
20121212,20.27,21.033,20.27,20.554,622042,0
20121213,20.445,20.445,19.908,20.297,325635,0
20121214,20.186,20.51,19.975,20.262,212790,0
20121217,20.165,20.282,20.01,20.159,56836,0
20121218,20.297,20.827,20.136,20.731,126254,0
20121219,20.987,23.455,20.371,21.251,100713,0
20121220,21.251,21.251,20.562,21.178,102059,0
20121221,20.515,21.257,20.376,20.931,73887,0
20121224,21.76,21.793,20.445,20.627,33378,0
20121226,20.57,20.731,20.409,20.487,271348,0
20121227,20.487,20.725,20.431,20.562,661399,0
20121228,20.922,21.282,20.738,21.134,79478,0
20121231,21.266,22.008,21.21,21.985,81273,0
20130102,23.476,23.784,22.941,23.248,310257,0
20130103,23.455,23.681,23.173,23.19,377623,0
20130104,23.463,23.49,23.029,23.256,222224,0
20130107,23.035,23.49,23.035,23.425,241305,0
20130108,23.469,23.49,23.19,23.271,160788,0
20130109,23.268,23.384,23.023,23.075,150407,0
20130110,23.127,23.127,22.96,23.127,99040,0
20130111,23.072,23.409,23.072,23.199,85583,0
20130114,23.276,23.293,23.081,23.19,63363,0
20130115,23.19,23.541,23.102,23.19,86342,0
20130116,23.248,23.248,22.302,22.993,112043,0
20130117,22.757,23.439,22.757,23.276,77440,0
20130118,23.372,23.493,22.908,23.091,375763,0
20130122,22.984,23.425,22.866,23.131,44070,0
20130123,22.648,23.553,21.877,22.892,154884,0
20130124,23.049,23.124,22.881,22.906,22656,0
20130125,23.061,23.061,22.76,22.774,48508,0
20130128,22.935,23.957,22.296,23.951,193903,0
20130129,23.716,24.878,23.237,24.382,62436,0
20130130,24.245,24.802,23.762,24.544,51278,0
20130131,24.617,25.714,24.544,24.811,103451,0
20130201,25.065,25.719,24.237,24.958,245795,0
20130204,24.986,25.353,24.905,24.981,172999,0
20130205,26.111,26.111,24.302,24.981,98396,0
20130206,24.764,25.811,24.582,24.918,36998,0
20130207,25.162,25.991,24.731,25.653,156591,0
20130208,25.904,25.991,25.057,25.17,126557,0
20130211,24.884,25.479,24.884,25.479,58430,0
20130212,25.439,25.552,25.12,25.361,39712,0
20130213,25.419,25.958,25.222,25.439,34899,0
20130214,25.353,25.464,24.795,24.986,216560,0
20130215,24.986,25.241,24.802,24.986,31136,0
20130219,25.176,25.222,24.838,24.986,20240,0
20130220,24.986,25.302,24.861,24.986,503753,0
20130221,24.826,25.176,24.319,24.683,29986,0
20130222,24.802,25.095,24.715,24.838,142167,0
20130225,25.339,25.429,24.552,24.934,113795,0
20130226,24.986,24.986,24.656,24.986,120952,0
20130227,25.192,25.192,24.683,24.973,54637,0
20130228,25.05,25.05,24.751,24.966,48125,0
20130301,24.852,24.973,24.626,24.715,58535,0
20130304,24.639,24.795,23.912,24.251,99107,0
20130305,24.148,24.426,23.634,24.325,80637,0
20130306,24.656,24.731,23.558,24.421,105672,0
20130307,24.257,24.598,23.773,24.426,229649,0
20130308,24.426,24.598,24.185,24.319,143557,0
20130311,24.319,24.477,24.185,24.433,208029,0
20130312,24.339,24.355,23.891,23.912,201345,0
20130313,24.075,24.098,23.779,23.891,100831,0
20130314,23.862,24.091,23.639,23.744,232428,0
20130315,23.744,23.834,23.384,23.658,179720,0
20130318,23.398,24.082,23.398,24.082,715264,0
20130319,24.002,25.215,23.754,23.951,69029,0
20130320,23.951,24.46,23.884,24.179,266097,0
20130321,24.468,24.95,24.185,24.664,391535,0
20130322,24.633,25.157,24.369,24.905,116288,0
20130325,24.905,25.126,24.861,24.912,141639,0
20130326,24.884,25.12,24.861,24.878,89128,0
20130327,24.764,25.038,24.678,24.764,35495,0
20130328,24.757,25.507,24.757,25.12,91453,0
20130401,25.197,25.999,25.197,25.648,40318,0
20130402,25.816,26.088,25.507,25.539,75020,0
20130403,25.302,25.471,24.31,24.382,206811,0
20130404,24.325,24.509,24.117,24.302,56211,0
20130405,24.237,24.257,23.899,23.934,64533,0
20130408,24.287,24.523,24.068,24.302,125981,0
20130409,24.257,24.861,24.257,24.617,296918,0
20130410,24.736,25.162,24.399,24.414,58765,0
20130411,24.347,24.656,24.325,24.421,44253,0
20130412,24.31,24.477,24.31,24.391,23744,0
20130415,24.237,24.83,24.037,24.043,120261,0
20130416,24.251,24.264,23.572,23.876,99377,0
20130417,23.884,24.509,23.669,24.433,183558,0
20130418,24.915,25.225,24.658,24.674,66562,0
20130419,24.87,25.148,24.617,25.148,37988,0
20130422,25.331,25.714,25.289,25.513,73386,0
20130423,25.464,25.699,25.39,25.404,51327,0
20130424,25.539,25.661,25.369,25.384,102630,0
20130425,25.574,25.719,25.449,25.522,86469,0
20130426,25.396,25.707,25.396,25.573,109044,0
20130429,25.83,26.215,25.817,26.091,9901,0
20130430,25.993,26.591,25.993,26.261,184290,0
20130501,26.48,28.19,26.48,26.542,355238,0
20130502,26.698,28.446,26.698,27.953,319467,0
20130503,28.048,29.557,27.354,29.541,132747,0
20130506,29.401,29.551,29.105,29.184,74294,0
20130507,29.068,29.326,28.514,28.514,78838,0
20130508,28.64,29.031,28.417,28.809,20639,0
20130509,29.178,29.427,28.809,28.809,50547,0
20130510,28.802,29.495,28.733,29.319,132193,0
20130513,29.401,29.955,29.208,29.565,35932,0
20130514,29.401,29.709,28.957,29.054,64318,0
20130515,29.06,29.51,28.329,28.846,80648,0
20130516,29.074,29.394,28.662,28.772,25323,0
20130517,29.031,29.28,28.725,28.75,88952,0
20130520,28.683,28.941,28.477,28.802,26253,0
20130521,28.802,29.274,28.72,28.809,138557,0
20130522,29.037,29.037,28.675,28.809,57853,0
20130523,28.623,28.979,27.901,28.941,70322,0
20130524,28.83,28.83,28.366,28.668,24136,0
20130528,28.809,28.966,28.137,28.388,62539,0
20130529,28.388,28.578,27.769,28.469,198763,0
20130530,28.346,28.439,27.782,27.96,38429,0
20130531,27.794,27.958,27.444,27.639,62990,0
20130603,27.266,28.43,26.904,27.947,238142,0
20130604,28.129,28.129,26.652,26.652,253153,0
20130605,26.652,26.765,25.966,26.497,179981,0
20130606,26.356,26.765,26.222,26.472,73155,0
20130607,26.666,28.306,26.569,27.508,46826,0
20130610,27.762,28.477,27.037,27.812,64635,0
20130611,27.736,27.769,27.234,27.316,51213,0
20130612,27.257,28.366,27.257,27.776,142632,0
20130613,28.105,28.105,27.385,27.796,82290,0
20130614,27.921,29.274,27.921,28.874,52736,0
20130617,29.068,29.068,28.52,28.802,38786,0
20130618,28.889,28.889,27.879,28.359,58465,0
20130619,28.353,28.957,28.227,28.861,66368,0
20130620,28.889,29.164,27.816,27.901,87821,0
20130621,28.329,28.654,27.996,28.012,75728,0
20130624,28.181,28.202,27.375,27.581,47213,0
20130625,27.702,28.913,27.589,28.41,74554,0
20130626,28.668,30.397,28.566,29.84,48233,0
20130627,30.137,31.394,29.866,30.911,30069,0
20130628,31.734,31.734,30.409,30.409,73696,0
20130701,30.767,30.929,29.938,30.066,39616,0
20130702,30.161,30.618,29.59,29.806,21617,0
20130703,29.84,30.132,29.565,29.799,12853,0
20130705,29.806,29.806,29.184,29.436,37906,0
20130708,29.319,30.744,29.192,30.744,170330,0
20130709,31.031,31.462,30.403,30.588,78069,0
20130710,30.729,30.737,29.938,30.603,51703,0
20130711,30.635,32.501,30.635,30.952,95241,0
20130712,31.261,31.542,30.523,30.654,65473,0
20130715,30.773,32.397,30.454,31.979,102671,0
20130716,32.161,32.704,31.342,31.473,301582,0
20130717,31.689,31.695,30.982,31.026,142578,0
20130718,31.139,31.294,30.687,31.075,170755,0
20130719,31.232,31.682,30.285,30.435,61319,0
20130722,30.663,31.121,29.582,29.636,34489,0
20130723,29.938,30.344,29.719,29.858,60652,0
20130724,30.213,30.213,28.64,29.2,126749,0
20130725,29.178,29.517,28.809,29.476,72652,0
20130726,29.173,29.881,28.929,29.363,54933,0
20130729,30.14,30.252,28.917,29.673,150042,0
20130730,29.369,29.822,28.893,29.197,30359,0
20130731,29.465,29.874,29.057,29.206,31224,0
20130801,28.961,29.623,28.669,29.249,62040,0
20130802,29.392,29.635,28.899,28.936,52762,0
20130805,28.803,29.17,28.728,28.728,84274,0
20130806,28.908,29.182,28.878,29.065,107953,0
20130807,28.908,29.153,28.439,28.641,452773,0
20130808,28.826,29.17,28.669,29.065,36564,0
20130809,28.917,30.578,28.917,30.229,26344,0
20130812,30.125,30.712,30.045,30.406,34232,0
20130813,30.542,30.853,29.924,29.956,21555,0
20130814,29.696,30.045,29.65,29.807,16006,0
