Date,Open,High,Low,Close,Volume,OpenInt
20050225,1.9176,1.945,1.9176,1.9329,3139093,0
20050228,1.9723,2.0117,1.9693,1.9753,3753047,0
20050301,1.9238,1.9662,1.8965,1.9571,5460676,0
20050302,1.9329,1.9481,1.9176,1.9358,2938840,0
20050303,1.9935,1.9935,1.9601,1.9784,3427364,0
20050304,2.0147,2.0328,2.0025,2.0177,3835561,0
20050307,2.0357,2.0388,2.0086,2.0237,1745036,0
20050308,2.0025,2.0357,1.9995,1.9995,1949685,0
20050309,2.0057,2.0147,1.9784,1.9784,938533,0
20050310,1.9995,2.0057,1.9329,1.954,1348941,0
20050311,1.9481,1.9753,1.9176,1.9176,1633913,0
20050314,1.9358,1.9631,1.9147,1.9147,2203855,0
20050315,1.9268,1.9329,1.9116,1.9298,1267521,0
20050316,1.9329,1.9329,1.8875,1.8935,1562393,0
20050317,1.8875,1.9086,1.8844,1.8995,1067268,0
20050318,1.8995,1.9329,1.8905,1.9176,1262017,0
20050321,1.9086,1.9086,1.8662,1.8965,1713131,0
20050322,1.8693,1.8995,1.8693,1.8783,1457869,0
20050323,1.8359,1.8572,1.8269,1.8389,2044319,0
20050324,1.8269,1.8572,1.8208,1.851,1902379,0
20050328,1.8572,1.8844,1.845,1.8693,1643817,0
20050329,1.845,1.86,1.8086,1.8269,2146639,0
20050330,1.8086,1.8297,1.8086,1.8297,1610808,0
20050331,1.8632,1.8935,1.8541,1.8541,2882728,0
20050401,1.8935,1.9086,1.8783,1.8965,2015709,0
20050404,1.8995,1.9056,1.8844,1.8965,1403956,0
20050405,1.8783,1.9147,1.8632,1.9086,2098229,0
20050406,1.9176,1.9298,1.8935,1.9207,1835263,0
20050407,1.9358,1.939,1.8814,1.8814,1619604,0
20050408,1.8722,1.8783,1.8389,1.8572,1505179,0
20050411,1.8693,1.8693,1.8116,1.8419,2171944,0
20050412,1.8419,1.845,1.7814,1.8329,2039915,0
20050413,1.8147,1.8359,1.7571,1.7935,1857265,0
20050414,1.6814,1.727,1.6723,1.7177,6708385,0
20050415,1.6451,1.7057,1.639,1.6662,3463669,0
20050418,1.6634,1.6874,1.5995,1.6451,4012713,0
20050419,1.6359,1.6541,1.6057,1.639,3279923,0
20050420,1.6723,1.6814,1.6057,1.6057,2713277,0
20050421,1.6268,1.733,1.6268,1.733,3716736,0
