Date,Open,High,Low,Close,Volume,OpenInt
19900326,5.3899,5.3899,5.3567,5.3899,81548,0
19900327,5.3567,5.3899,5.2904,5.3899,847175,0
19900328,5.3899,5.3899,5.3235,5.3899,25740,0
19900329,5.3235,5.3899,5.2904,5.3235,1081249,0
19900330,5.2904,5.3567,5.2904,5.3235,79650,0
19900402,5.3235,5.3235,5.2653,5.2904,544826,0
19900403,5.2653,5.3567,5.2653,5.3235,129771,0
19900404,5.2904,5.415,5.2904,5.3567,160386,0
19900405,5.415,5.4813,5.3567,5.3899,199670,0
19900406,5.3567,5.415,5.2904,5.2904,70715,0
19900409,5.2904,5.3567,5.2904,5.3567,247082,0
19900410,5.2904,5.3567,5.2904,5.3235,43615,0
19900411,5.2904,5.3567,5.2904,5.3235,104574,0
19900412,5.2904,5.3567,5.2904,5.2904,43347,0
19900416,5.2904,5.3899,5.2904,5.2904,255212,0
19900417,5.2904,5.3235,5.2904,5.3235,157136,0
19900418,5.2904,5.3567,5.2904,5.2904,86965,0
19900419,5.2904,5.2904,5.1988,5.1988,112973,0
19900420,5.1738,5.1988,5.1408,5.1988,214297,0
19900423,5.1408,5.1738,5.1408,5.1408,164177,0
19900424,5.1408,5.2322,5.1408,5.1408,78837,0
19900425,5.1408,5.2322,5.1408,5.1738,158220,0
19900426,5.1738,5.2322,5.1738,5.1738,41450,0
19900427,5.2322,5.2322,5.1408,5.2322,225408,0
19900430,5.1738,5.2322,5.1738,5.2322,38471,0
19900501,5.1738,5.2322,5.1738,5.2322,175286,0
19900502,5.1988,5.2653,5.1988,5.2653,206713,0
19900503,5.1988,5.2653,5.1988,5.1988,12731,0
19900504,5.2653,5.2653,5.1988,5.2322,121915,0
19900507,5.1988,5.2653,5.1988,5.1988,39015,0
19900508,5.1988,5.2904,5.1988,5.2904,184231,0
19900509,5.2653,5.2904,5.2322,5.2904,317519,0
19900510,5.2653,5.3567,5.2653,5.2653,52561,0
19900511,5.3567,5.5977,5.2904,5.5977,217820,0
19900514,5.5727,5.9713,5.5727,5.8464,486576,0
19900515,5.8133,5.9132,5.7884,5.9132,626103,0
19900516,5.88,5.9713,5.88,5.9713,603615,0
19900517,5.9382,5.9713,5.8133,5.8133,652653,0
19900518,5.88,5.88,5.7884,5.7884,115685,0
19900521,5.7884,5.88,5.7884,5.8464,785136,0
19900522,5.8464,5.8464,5.7884,5.7884,103220,0
19900523,5.7884,5.8464,5.7884,5.8464,245725,0
19900524,5.7884,5.8464,5.7884,5.7884,83712,0
19900525,5.8216,5.9465,5.8216,5.8881,218632,0
19900529,5.9795,5.9795,5.8881,5.9465,48768,0
19900530,5.9795,5.9795,5.9132,5.9795,112164,0
19900531,5.9465,6.0128,5.9465,6.0128,194250,0
19900601,5.9465,6.0128,5.9465,6.0128,96447,0
19900604,5.9465,6.0128,5.9465,6.0128,72065,0
19900605,5.9465,6.0128,5.9465,6.0128,260087,0
19900606,5.9465,6.0376,5.9465,6.0376,98345,0
19900607,6.0128,6.0711,5.7884,6.0711,161743,0
19900608,6.0711,6.0711,6.0128,6.0711,268753,0
19900611,6.0376,6.0711,6.0376,6.0376,426973,0
19900612,6.0376,6.1624,6.0128,6.1624,233537,0
19900613,6.1044,6.1624,6.1044,6.1624,448374,0
19900614,6.1624,6.1624,6.0376,6.0711,362222,0
19900615,6.0711,6.0711,5.9465,6.0128,416949,0
19900618,6.0128,6.0376,6.0128,6.0128,140337,0
19900619,6.0376,6.0376,5.9795,5.9795,160658,0
19900620,5.9795,6.0376,5.9795,6.0376,93199,0
19900621,6.0128,6.0376,6.0128,6.0376,29802,0
19900622,6.0376,6.0711,6.0128,6.0711,283114,0
19900625,6.0376,6.0711,6.0376,6.0376,291514,0
19900626,6.0711,6.1044,6.0376,6.0376,152255,0
19900627,6.1044,6.1044,6.0376,6.0376,135190,0
19900628,6.0376,6.1044,6.0376,6.0376,23573,0
19900629,6.0376,6.1044,6.0376,6.0711,150632,0
19900702,6.0376,6.1044,6.0128,6.0711,212403,0
19900703,6.0128,6.0376,5.9465,5.9465,134922,0
19900705,5.9465,5.9795,5.9132,5.9132,167973,0
19900706,5.9465,5.9465,5.8881,5.8881,104037,0
19900709,5.8554,5.9465,5.8554,5.8881,107013,0
19900710,5.9132,5.9795,5.8881,5.9465,201840,0
19900711,5.9795,5.9795,5.8881,5.9465,69084,0
19900712,5.8881,5.9465,5.8881,5.9465,67459,0
19900713,5.9132,5.9795,5.9132,5.9465,248160,0
19900716,5.9465,5.9795,5.9132,5.9132,208610,0
19900717,5.9132,5.9795,5.9132,5.9132,196960,0
19900718,5.9132,5.9132,5.8216,5.9132,146840,0
19900719,5.8881,5.8881,5.8554,5.8554,191272,0
19900720,5.8554,5.8881,5.8216,5.8554,186938,0
19900723,5.8554,5.8881,5.7636,5.7884,390125,0
19900724,5.8554,5.8554,5.639,5.672,140879,0
19900725,5.6058,5.6972,5.6058,5.6972,122997,0
19900726,5.639,5.6972,5.639,5.639,89404,0
19900727,5.639,5.672,5.5727,5.6058,714151,0
19900730,5.639,5.672,5.6058,5.672,82362,0
19900731,5.639,5.7884,5.639,5.7307,157678,0
19900801,5.7307,5.9465,5.7307,5.9465,311836,0
19900802,5.8216,5.9132,5.7884,5.7884,361409,0
19900803,5.7884,5.7884,5.639,5.6972,233807,0
19900806,5.672,5.672,5.5727,5.639,127061,0
19900807,5.672,5.7307,5.5727,5.639,232724,0
19900808,5.5727,5.639,5.4482,5.4482,787843,0
19900809,5.4482,5.4813,5.3235,5.3899,147110,0
19900810,5.3567,5.3899,5.2071,5.2322,500126,0
19900813,5.2071,5.2322,5.2071,5.2071,23843,0
19900814,5.2322,5.3235,5.2322,5.2985,80734,0
19900815,5.3235,5.3567,5.2985,5.3235,170952,0
19900816,5.3235,5.3567,5.2653,5.2985,88052,0
19900817,5.2653,5.2985,5.2322,5.2985,72880,0
19900820,5.2985,5.423,5.2653,5.423,98345,0
19900821,5.3567,5.3899,5.2653,5.2653,130854,0
19900822,5.3899,5.3899,5.1073,5.1408,373873,0
19900823,5.0829,5.1408,5.016,5.016,330253,0
19900824,5.0496,5.1073,5.016,5.016,119746,0
19900827,5.0496,5.1073,5.016,5.016,119204,0
19900828,5.0249,5.0575,4.9912,4.9912,27364,0
19900829,5.0575,5.1159,4.9912,5.0829,54458,0
19900830,5.1159,5.149,5.0575,5.0575,219450,0
19900831,5.0575,5.2404,5.0575,5.2071,234076,0
19900904,5.1826,5.2404,5.1826,5.2404,105389,0
19900905,5.2736,5.3067,5.2404,5.2404,55270,0
19900906,5.2404,5.3067,5.2404,5.2736,52561,0
19900907,5.3067,5.3403,5.2404,5.2736,126253,0
19900910,5.3403,5.3649,5.3067,5.3067,207799,0
19900911,5.3067,5.3649,5.3067,5.3067,13815,0
19900912,5.3067,5.3982,5.3067,5.3403,101868,0
19900913,5.3403,5.3403,5.2404,5.2404,97263,0
19900914,5.2404,5.2404,5.0829,5.1159,164177,0
19900917,5.0829,5.0829,4.958,5.0575,173117,0
19900918,4.9912,5.0249,4.933,5.0249,118662,0
19900919,5.0249,5.0575,4.9912,5.0575,85882,0
19900920,4.9912,5.0249,4.933,4.933,167973,0
19900921,4.958,4.9912,4.8999,4.958,220260,0
19900924,4.8999,4.933,4.742,4.742,194521,0
19900925,4.742,4.8334,4.742,4.8087,220530,0
19900926,4.8669,4.8999,4.7755,4.8334,96447,0
19900927,4.8999,4.8999,4.7755,4.8087,162282,0
19900928,4.8087,4.8334,4.7755,4.8334,402862,0
19901001,4.8334,5.0249,4.8334,4.958,212676,0
19901002,5.0249,5.0829,4.9912,5.0249,147383,0
19901003,5.0829,5.0829,4.9912,4.9912,79920,0
19901004,5.0249,5.0249,4.958,5.0249,70166,0
19901005,4.933,5.0249,4.933,4.9912,57166,0
19901008,5.0249,5.0249,4.958,5.0249,31967,0
19901009,4.958,4.958,4.933,4.958,193709,0
19901010,4.8999,5.0829,4.8999,5.0249,127875,0
19901011,5.1159,5.1159,4.9912,5.0249,148193,0
19901012,5.0249,5.0829,5.0249,5.0249,154698,0
19901015,5.0249,5.1826,4.9912,5.1826,237867,0
19901016,5.2071,5.2071,5.1159,5.1826,129229,0
19901017,5.1826,5.2071,5.1159,5.2071,45787,0
19901018,5.2071,5.2736,5.149,5.2071,78026,0
19901019,5.2404,5.3067,5.2404,5.3067,94282,0
19901022,5.3403,5.4648,5.3403,5.4648,88052,0
19901023,5.4648,5.5228,5.3982,5.4648,130854,0
19901024,5.4897,5.4897,5.3649,5.4648,191542,0
19901025,5.4648,5.4897,5.4317,5.4317,69084,0
19901026,5.3982,5.3982,5.3403,5.3403,155780,0
19901029,5.3403,5.3982,5.149,5.1826,269566,0
19901030,5.1826,5.1826,4.958,5.0575,278778,0
19901031,4.9912,5.0575,4.9912,5.0575,54726,0
19901101,5.0249,5.0249,4.933,5.0249,79650,0
19901102,5.0249,5.0829,4.958,5.0575,418034,0
19901105,5.0249,5.0829,5.0249,5.0249,22217,0
19901106,5.0249,5.0829,4.9912,5.0249,712254,0
19901107,5.0249,5.0575,4.958,4.958,35494,0
19901108,4.9912,4.9912,4.8669,4.8999,306956,0
19901109,4.958,4.958,4.8999,4.958,97803,0
19901112,4.958,5.0829,4.933,5.0575,500937,0
19901113,5.1159,5.1159,5.0249,5.0249,281219,0
19901114,5.0249,5.149,5.0249,5.149,163639,0
19901115,5.0829,5.1159,5.0575,5.1159,109180,0
19901116,5.0575,5.1159,5.0575,5.1159,112973,0
19901119,5.149,5.149,5.0829,5.1159,63396,0
19901120,5.0829,5.1159,4.8669,4.8999,293140,0
19901121,4.8669,4.8999,4.8087,4.8669,141150,0
19901123,4.8334,4.8669,4.8087,4.8087,26012,0
19901126,4.8087,4.8087,4.709,4.742,348945,0
19901127,4.7755,4.8334,4.709,4.8334,553765,0
19901128,4.8334,4.958,4.8334,4.8999,418034,0
19901129,4.8999,4.9912,4.8999,4.9912,178539,0
19901130,4.9995,5.2817,4.9995,5.1571,370082,0
19901203,5.2488,5.2817,5.1906,5.2817,72336,0
19901204,5.2156,5.3155,5.1906,5.2817,80734,0
19901205,5.2156,5.2817,5.1906,5.2817,26012,0
19901206,5.3486,5.3486,5.2817,5.3486,91301,0
19901207,5.2817,5.3486,5.2817,5.3155,60687,0
19901210,5.3155,5.4063,5.3155,5.3734,67731,0
19901211,5.3486,5.3734,5.3155,5.3155,47138,0
19901212,5.3155,5.6556,5.3155,5.6556,315624,0
19901213,5.6307,5.6556,5.4728,5.6307,177454,0
19901214,5.5642,5.5977,5.5063,5.5311,195607,0
19901217,5.4728,5.5642,5.4396,5.5642,219987,0
19901218,5.5642,5.6556,5.5311,5.6556,217554,0
19901219,5.6887,5.7553,5.6307,5.7218,470324,0
19901220,5.6887,5.8464,5.6887,5.7884,780797,0
19901221,5.7884,5.8133,5.7218,5.7553,1053617,0
19901224,5.7884,5.7884,5.6887,5.7218,74504,0
19901226,5.7218,5.7218,5.5977,5.5977,247082,0
19901227,5.5977,5.7218,5.5977,5.5977,231907,0
19901228,5.5977,5.6556,5.5977,5.5977,78837,0
19901231,5.6556,5.7553,5.6307,5.7553,128420,0
19910102,5.6556,5.7218,5.5642,5.6307,290973,0
19910103,5.6307,5.6307,5.3155,5.3486,332695,0
19910104,5.3486,5.3486,5.1906,5.2156,162824,0
19910107,5.1571,5.1906,5.1242,5.1571,193978,0
19910108,5.1906,5.2817,5.1571,5.2817,107284,0
19910109,5.3155,5.4063,5.2488,5.2817,234344,0
19910110,5.2817,5.3155,5.2488,5.3155,224326,0
19910111,5.2488,5.2817,5.2488,5.2817,8396,0
19910114,5.2488,5.3486,5.2488,5.2817,245455,0
19910115,5.3486,5.4728,5.3155,5.3734,220260,0
19910116,5.3734,5.4396,5.3734,5.4396,25740,0
19910117,5.6556,5.6556,5.5311,5.6307,305872,0
19910118,5.5311,5.6307,5.5311,5.6307,271465,0
19910121,5.5311,5.6307,5.5311,5.5642,183413,0
19910122,5.6307,5.6307,5.5642,5.5977,49847,0
19910123,5.6307,5.6307,5.5642,5.5642,78566,0
19910124,5.6307,5.6307,5.5642,5.5977,208610,0
19910125,5.5642,5.6556,5.5642,5.6556,224598,0
19910128,5.5977,5.6556,5.5977,5.6556,360329,0
19910129,5.5977,5.6556,5.5977,5.6556,46054,0
19910130,5.6307,5.6556,5.5977,5.6307,105932,0
19910131,5.6307,5.6556,5.5642,5.6556,120558,0
19910201,5.6556,5.6887,5.6307,5.6307,342447,0
19910204,5.6307,5.8133,5.6307,5.7553,1059578,0
19910205,5.7218,5.9132,5.7218,5.9132,148464,0
19910206,5.88,6.1292,5.88,6.1292,318064,0
19910207,6.0957,6.1292,5.9465,5.9465,494977,0
19910208,5.9465,6.0711,5.9132,6.0045,379020,0
19910211,6.0045,6.0711,5.9713,6.0711,633144,0
19910212,6.0376,6.0376,5.7218,6.0045,130317,0
19910213,5.9465,6.0045,5.9132,5.9465,140879,0
19910214,5.9132,6.0045,5.88,5.88,230283,0
19910215,5.9465,5.9713,5.88,5.9465,145214,0
19910219,5.88,5.9132,5.8133,5.9132,199401,0
19910220,5.8464,5.9132,5.6556,5.6556,273362,0
19910221,5.6556,5.7218,5.5311,5.6307,350032,0
19910222,5.5311,5.6556,5.5311,5.6556,208881,0
19910225,5.7218,5.7553,5.6307,5.6556,72336,0
19910226,5.6556,5.7218,5.6556,5.6887,107284,0
19910227,5.7218,5.7884,5.6307,5.6556,501206,0
19910228,5.7218,5.7553,5.6556,5.6887,146840,0
19910301,5.6887,5.88,5.6887,5.7553,313190,0
19910304,5.7884,5.7884,5.7218,5.7218,148193,0
19910305,5.7884,5.8464,5.7218,5.7884,222967,0
19910306,5.7884,5.8464,5.7884,5.8464,253315,0
19910307,5.8554,6.0458,5.8554,6.0458,371977,0
19910308,6.0794,6.1372,6.0458,6.0458,204545,0
19910311,6.0458,6.0794,5.9214,5.9214,167973,0
19910312,5.9214,5.9795,5.8881,5.9214,1582187,0
19910313,6.0128,6.0128,5.8881,6.0128,515558,0
19910314,5.9465,6.0128,5.9214,5.9465,324293,0
19910315,5.9465,5.9795,5.6307,5.6307,1925179,0
19910318,5.5977,5.6307,5.4728,5.5977,1089919,0
19910319,5.5393,5.7307,5.5063,5.6641,238955,0
19910320,5.6307,5.7884,5.6307,5.7307,191542,0
19910321,5.8216,5.8554,5.7553,5.8216,83175,0
19910322,5.7884,6.0128,5.7884,5.9214,366828,0
19910325,5.9214,6.0128,5.9214,6.0128,338112,0
19910326,5.9214,6.1707,5.9214,6.1707,270380,0
19910327,6.1707,6.237,6.1044,6.237,270112,0
19910328,6.2039,6.237,6.1372,6.237,202920,0
19910401,6.1707,6.2039,6.1372,6.1372,124897,0
19910402,6.2039,6.2039,6.1372,6.1372,124082,0
19910403,6.1707,6.237,6.1707,6.1707,91028,0
19910404,6.1707,6.2949,6.1707,6.2619,304786,0
19910405,6.2949,6.3284,6.237,6.2949,565146,0
19910408,6.2949,6.3284,6.2619,6.3284,201840,0
19910409,6.2619,6.3284,6.1372,6.1372,204275,0
19910410,6.1372,6.2039,6.1372,6.1372,159571,0
19910411,6.1707,6.2619,6.1372,6.1707,127333,0
19910412,6.2039,6.2619,6.1707,6.2619,105663,0
19910415,6.2039,6.2619,6.0794,6.1044,257918,0
19910416,6.0794,6.0794,5.9465,6.0128,503643,0
19910417,5.9465,6.1707,5.9465,6.1044,328629,0
19910418,6.1044,6.237,6.1044,6.1372,208610,0
19910419,6.1372,6.3284,6.1372,6.237,212946,0
19910422,6.237,6.3618,6.2039,6.2619,143860,0
19910423,6.3618,6.3949,6.3284,6.3949,312373,0
19910424,6.3284,6.7436,6.3284,6.7105,441334,0
19910425,6.644,6.7105,6.5526,6.5862,459212,0
19910426,6.6106,6.6106,6.4861,6.5862,727156,0
19910429,6.4861,6.5862,6.3949,6.3949,91569,0
19910430,6.3949,6.4527,6.3618,6.4278,156322,0
19910501,6.3618,6.4278,6.3284,6.3618,378747,0
19910502,6.3618,6.3618,6.2619,6.3284,180708,0
19910503,6.237,6.3284,6.2039,6.2949,111351,0
19910506,6.2039,6.237,6.1707,6.237,111618,0
19910507,6.237,6.2949,6.2039,6.237,137632,0
19910508,6.2039,6.2949,6.1707,6.1707,52830,0
19910509,6.1707,6.2619,6.1707,6.2039,176911,0
19910510,6.2039,6.2619,6.0794,6.2039,283654,0
19910513,6.1044,6.1372,5.9795,6.0128,207799,0
19910514,6.0458,6.1372,5.9795,6.0458,269839,0
19910515,6.0458,6.1044,5.9795,5.9795,161743,0
19910516,5.9795,6.0794,5.9795,6.0128,121646,0
19910517,6.0458,6.0458,5.9465,5.9795,224326,0
19910520,6.0128,6.0128,5.7553,5.8881,222696,0
19910521,5.8881,6.0128,5.8554,5.9214,123813,0
19910522,5.9795,6.0458,5.9214,6.0458,104037,0
19910523,5.9795,6.0458,5.9214,5.9465,331609,0
19910524,5.9879,6.0878,5.9546,6.0878,115957,0
19910528,6.0878,6.1457,5.9879,6.1207,467342,0
19910529,6.1207,6.1787,6.0878,6.1787,1369784,0
19910530,6.1207,6.1787,6.1207,6.1457,1811656,0
19910531,6.1787,6.2121,6.1457,6.2121,648317,0
19910603,6.2121,6.2453,6.1787,6.2121,1218607,0
19910604,6.2121,6.4033,6.1457,6.3119,437812,0
19910605,6.4033,6.5276,6.3366,6.5276,353826,0
19910606,6.5276,6.6273,6.5276,6.5609,340278,0
19910607,6.5026,6.5609,6.4697,6.5026,237054,0
19910610,6.5276,6.5276,6.3698,6.3698,190460,0
19910611,6.4363,6.5026,6.3698,6.5026,224598,0
19910612,6.4363,6.5026,6.4033,6.4363,253315,0
19910613,6.4697,6.6273,6.4363,6.5026,307500,0
19910614,6.4697,6.5609,6.4697,6.5609,71254,0
19910617,6.5026,6.6273,6.5026,6.5609,82905,0
19910618,6.5276,6.6273,6.5276,6.5276,110268,0
19910619,6.5276,6.5942,6.5026,6.5276,235431,0
19910620,6.5942,6.5942,6.5276,6.5942,355722,0
19910621,6.5609,6.6941,6.5609,6.6941,278778,0
19910624,6.6941,6.752,6.6273,6.6602,313190,0
19910625,6.6602,6.7188,6.5609,6.6273,218093,0
19910626,6.6273,6.6273,6.5026,6.5609,120831,0
19910627,6.6273,6.6941,6.5609,6.5942,101051,0
19910628,6.5942,6.6941,6.5609,6.5609,283383,0
19910701,6.6273,6.6602,6.5276,6.6602,133838,0
19910702,6.6602,6.6602,6.5942,6.6602,250060,0
19910703,6.6273,6.6602,6.5609,6.6602,291240,0
19910705,6.5609,6.6602,6.5609,6.5942,381187,0
19910708,6.6273,6.6602,6.5609,6.6602,70440,0
19910709,6.6602,6.6602,6.5942,6.6602,98614,0
19910710,6.6602,6.6941,6.5942,6.6941,358159,0
19910711,6.5942,6.6941,6.5942,6.6273,84527,0
19910712,6.6273,6.6941,6.6273,6.6941,165261,0
19910715,6.6273,6.7188,6.5942,6.6602,496058,0
19910716,6.7188,6.7852,6.6941,6.752,483864,0
19910717,6.7188,6.8517,6.7188,6.7852,515558,0
19910718,6.7852,6.8517,6.7852,6.8183,526673,0
19910719,6.8517,6.8847,6.8183,6.8183,577879,0
19910722,6.9179,6.9429,6.8183,6.9179,158220,0
19910723,6.8517,6.9179,6.8517,6.8517,182332,0
19910724,6.8517,6.9429,6.8517,6.8847,180435,0
19910725,6.8847,6.9179,6.8847,6.8847,95905,0
19910726,6.8847,6.9179,6.8517,6.8847,101322,0
19910729,6.8517,6.8517,6.6941,6.752,147652,0
19910730,6.8183,6.8517,6.752,6.7852,63937,0
19910731,6.752,6.8183,6.752,6.752,234344,0
19910801,6.752,6.8183,6.752,6.752,115957,0
19910802,6.8183,6.8183,6.752,6.752,167973,0
19910805,6.7188,6.752,6.6273,6.6273,97532,0
19910806,6.6273,6.6941,6.5609,6.5609,197235,0
19910807,6.6273,6.6273,6.5609,6.6273,151446,0
19910808,6.5609,6.6273,6.5026,6.5276,155780,0
19910809,6.5276,6.5609,6.5026,6.5026,585189,0
19910812,6.5026,6.5609,6.5026,6.5026,79381,0
19910813,6.5026,6.5942,6.5026,6.5942,53099,0
19910814,6.5942,6.5942,6.4697,6.5276,225408,0
19910815,6.5942,6.6273,6.5276,6.5942,91842,0
19910816,6.5942,6.752,6.5942,6.6941,720380,0
19910819,6.5609,6.8847,6.5026,6.8517,373603,0
19910820,6.9179,7.0758,6.9179,7.0427,964751,0
19910821,7.0758,7.1342,7.0758,7.1342,586002,0
19910822,7.0758,7.1342,6.9429,7.0427,305872,0
19910823,6.9429,7.0095,6.9179,6.9429,317519,0
19910826,7.0095,7.1342,6.9762,7.1342,180975,0
19910827,7.1754,7.1754,7.0506,7.0842,159299,0
19910828,7.0842,7.242,7.0842,7.242,372516,0
19910829,7.242,7.3082,7.1754,7.3082,221344,0
19910830,7.242,7.3415,7.242,7.2751,71254,0
19910903,7.2751,7.3663,7.2751,7.3082,128689,0
19910904,7.3663,7.3663,7.242,7.242,31697,0
19910905,7.242,7.3082,7.1754,7.2088,227303,0
