Date,Open,High,Low,Close,Volume,OpenInt
19970917,4.3589,4.5829,4.3589,4.4134,17314984,0
19970918,4.4741,4.565,4.4317,4.565,4010049,0
19970919,4.5528,4.6983,4.5528,4.5829,2055340,0
19970922,4.5467,4.6013,4.5405,4.5467,3472299,0
19970923,4.5467,4.565,4.5405,4.5467,1627776,0
19970924,4.5528,4.565,4.5405,4.5467,1532431,0
19970925,4.5467,4.6135,4.5467,4.6135,597795,0
19970926,4.6013,4.7344,4.5951,4.7284,977851,0
19970929,4.7344,4.7952,4.7344,4.7952,1025686,0
19970930,4.8438,5.0619,4.8316,4.9104,2757717,0
19971001,4.9165,4.9165,4.6983,4.6983,2097564,0
19971002,4.7167,4.7284,4.6195,4.6801,1120702,0
19971003,4.7284,4.7771,4.6983,4.7467,1226931,0
19971006,4.7284,4.8863,4.7284,4.8498,4667561,0
19971007,4.8863,4.9649,4.6435,4.7167,12813361,0
19971008,4.7167,4.7344,4.6195,4.6498,9890691,0
19971009,4.6435,4.8498,4.5528,4.8438,7631804,0
19971010,4.6801,4.8438,4.662,4.7831,6117843,0
19971013,4.7952,4.862,4.7831,4.862,6239913,0
19971014,4.8195,4.9165,4.8136,4.8316,10142743,0
19971015,4.7167,4.8195,4.7167,4.8136,5376867,0
19971016,4.8498,4.874,4.7771,4.8136,5352787,0
19971017,4.7344,4.7527,4.5951,4.7284,3824313,0
19971020,4.7043,4.9165,4.7043,4.8863,4753666,0
19971021,4.8498,5.177,4.8498,5.086,5479470,0
19971022,5.0013,5.0619,4.9468,5.0013,3342316,0
19971023,4.9226,5.0133,4.8863,5.0013,4562654,0
19971024,5.0133,5.0376,4.9165,5.0013,3331097,0
19971027,4.9226,4.9348,4.6435,4.7167,3979371,0
19971028,4.565,4.7952,4.4134,4.6921,2777507,0
19971029,4.7043,4.7771,4.5772,4.5951,1949439,0
19971030,4.4134,4.5772,4.4134,4.4741,2908484,0
19971031,4.4741,4.6195,4.4618,4.5951,3179009,0
19971103,4.6195,4.662,4.5528,4.6195,3237075,0
19971104,4.5829,4.6316,4.5284,4.565,3471313,0
19971105,4.5467,4.6195,4.5284,4.5772,3688719,0
19971106,4.5829,4.8498,4.565,4.7952,3670907,0
19971107,4.7771,4.9165,4.6983,4.8498,3606242,0
19971110,4.8863,5.2135,4.874,5.1286,3259838,0
19971111,4.9649,5.0984,4.9649,5.0802,2448585,0
19971112,5.0376,5.0802,4.9773,4.9773,2469045,0
19971113,4.9892,5.1043,4.9892,5.0802,4128488,0
19971114,5.1894,5.4563,5.177,5.3406,6568174,0
19971117,5.3832,5.4924,5.3406,5.353,2990306,0
19971118,5.3288,5.353,5.0984,5.1286,3468668,0
19971119,5.0984,5.1894,5.0619,5.1528,3576881,0
19971120,5.1528,5.2013,5.1346,5.177,3778127,0
19971121,5.1651,5.25,5.1528,5.2257,1840237,0
19971124,5.1528,5.2257,5.0802,5.0802,2314979,0
19971125,5.086,5.1043,4.9226,4.9649,1960325,0
19971126,4.9226,5.0619,4.9226,5.0257,1587855,0
19971128,5.0257,5.1528,5.0257,5.1286,693469,0
19971201,5.2135,5.2135,5.1286,5.1528,1799658,0
19971202,5.1894,5.1894,5.0984,5.1651,2584184,0
19971203,5.1528,5.268,5.1528,5.2559,1191305,0
19971204,5.3045,5.3714,5.2559,5.2802,2708892,0
19971205,5.2802,5.2864,5.2257,5.25,2360503,0
19971208,5.2135,5.2925,5.1894,5.2257,1280050,0
19971209,5.177,5.2257,5.1651,5.177,1169531,0
19971210,5.1528,5.1528,4.8014,4.8863,5312205,0
19971211,4.7952,4.8136,4.6801,4.7167,3607232,0
19971212,4.7284,4.7344,4.5829,4.6013,2775200,0
19971215,4.565,4.662,4.5528,4.5772,5921874,0
19971216,4.5467,4.6921,4.5467,4.662,6317108,0
19971217,4.6678,4.7467,4.5772,4.6013,4157523,0
19971218,4.565,4.5772,4.4799,4.5284,1612597,0
19971219,4.5104,4.5467,4.4922,4.5166,1686170,0
19971222,4.5467,4.565,4.4498,4.5166,1346029,0
19971223,4.4799,4.4982,4.2921,4.2981,2601008,0
19971224,4.2618,4.3647,4.2254,4.3589,1281042,0
19971226,4.3407,4.3464,4.2921,4.2921,735695,0
19971229,4.2497,4.3948,4.2437,4.2981,1297866,0
19971230,4.2981,4.4799,4.2921,4.4435,1601053,0
19971231,4.4011,4.4255,4.3589,4.4011,2519520,0
19980102,4.4011,4.4435,4.2981,4.4134,1758420,0
19980105,4.4134,4.4317,4.2254,4.2799,4070755,0
19980106,4.2254,4.2254,4.0857,4.0982,5093142,0
19980107,4.0738,4.2072,4.0374,4.092,3567642,0
19980108,4.0133,4.0558,3.9041,3.9345,3233779,0
19980109,3.9222,4.0857,3.9041,3.9406,5785295,0
19980112,3.8068,4.0072,3.7951,3.9586,3177359,0
19980113,3.9222,3.9951,3.9041,3.9586,2964896,0
19980114,3.9709,4.0617,3.8736,3.9586,2248661,0
19980115,3.9406,4.0738,3.9041,4.0558,5221810,0
19980116,4.0374,4.092,4.0255,4.0857,1848152,0
19980120,4.0738,4.2072,4.0558,4.2072,2330484,0
19980121,4.1708,4.1708,4.1224,4.1467,1411023,0
19980122,4.1467,4.1588,4.092,4.11,1703655,0
19980123,4.092,4.11,4.0255,4.0558,1977809,0
19980126,4.0133,4.0857,3.9951,4.0374,1472715,0
19980127,3.9769,4.0374,3.9406,4.0255,2820072,0
19980128,4.0133,4.1467,3.9951,4.1467,3234105,0
19980129,4.11,4.2497,4.092,4.1588,2545912,0
19980130,4.1283,4.1467,4.0857,4.1402,4951286,0
19980202,4.177,4.3163,4.177,4.2254,3223220,0
19980203,4.189,4.2072,4.1708,4.189,2434075,0
19980204,4.1708,4.3163,4.1467,4.2981,3120291,0
19980205,4.2497,4.2981,4.2254,4.2437,1834625,0
19980206,4.2072,4.3589,4.2072,4.3464,1621177,0
19980209,4.2799,4.3163,4.2132,4.2799,1270151,0
19980210,4.2618,4.3407,4.2072,4.3104,1191964,0
19980211,4.2799,4.2921,4.1951,4.2739,1725757,0
19980212,4.2618,4.2981,4.1283,4.1708,3809466,0
19980213,4.1708,4.3948,4.092,4.1283,4898498,0
19980217,3.9406,4.0437,3.9406,4.0437,3755359,0
19980218,3.9951,4.0133,3.9406,3.9586,4324783,0
19980219,3.9586,4.189,3.9464,4.0982,3633626,0
19980220,4.1402,4.1402,4.0255,4.0558,1458201,0
19980223,4.11,4.11,4.0133,4.0374,1903578,0
19980224,4.0133,4.1588,4.0133,4.11,1758420,0
19980225,4.092,4.1283,4.0617,4.092,1320302,0
19980226,4.092,4.2799,4.0857,4.2374,2411309,0
19980227,4.2437,4.3163,4.2374,4.3163,1688808,0
19980302,4.2981,4.4741,4.2921,4.4618,2555806,0
19980303,4.3892,4.4922,4.3589,4.4741,1671651,0
19980304,4.4317,4.5467,4.4255,4.5467,1487234,0
19980305,4.4741,4.5467,4.4134,4.5467,1919746,0
19980306,4.5284,4.5405,4.3948,4.4741,1878507,0
19980309,4.4498,4.4741,4.2981,4.3589,1379020,0
19980310,4.3407,4.4317,4.3287,4.4255,1421580,0
19980311,4.4618,4.5104,4.4134,4.4982,1968242,0
19980312,4.5104,4.5951,4.4982,4.5104,2921351,0
19980313,4.5284,4.565,4.4982,4.4982,1856399,0
19980316,4.5104,4.5528,4.4799,4.5166,1920073,0
19980317,4.4982,4.5467,4.4922,4.5284,2005852,0
19980318,4.4922,4.5166,4.4134,4.4255,1554206,0
19980319,4.4134,4.5104,4.3948,4.4799,4607514,0
19980320,4.5104,4.6983,4.4799,4.6435,1714867,0
19980323,4.565,4.5829,4.5166,4.5284,1382983,0
19980324,4.5284,4.662,4.5104,4.6435,1664397,0
19980325,4.6195,4.7771,4.6135,4.6316,2631032,0
19980326,4.662,4.662,4.5528,4.5528,1258278,0
19980327,4.5829,4.6195,4.4922,4.5528,1425211,0
19980330,4.5467,4.5528,4.4741,4.4799,2223921,0
19980331,4.4799,4.5829,4.4799,4.5528,1554865,0
19980401,4.5528,4.7771,4.5528,4.7771,1416633,0
19980402,4.7344,4.874,4.6983,4.7651,2512923,0
19980403,4.7651,4.8863,4.7344,4.8863,1631407,0
19980406,4.874,4.874,4.7344,4.7651,1348007,0
19980407,4.7167,4.7344,4.565,4.6013,1251020,0
19980408,4.5772,4.6801,4.5284,4.5528,1052741,0
19980409,4.565,4.6983,4.5467,4.662,882514,0
19980413,4.6316,4.6498,4.5829,4.6435,995996,0
19980414,4.662,4.662,4.6135,4.6435,1430481,0
19980415,4.6195,4.8498,4.6195,4.8014,1188666,0
19980416,4.8014,4.8136,4.6801,4.7527,1146437,0
19980417,4.7771,4.7952,4.6801,4.7651,808937,0
19980420,4.7344,4.8014,4.6983,4.7952,857765,0
19980421,4.7527,4.7771,4.7043,4.7651,867001,0
19980422,4.7344,5.0013,4.7344,4.9773,1368468,0
19980423,4.9529,5.0013,4.9226,4.9649,1894009,0
19980424,4.9348,4.9834,4.874,4.9104,1452594,0
19980427,4.7952,4.7952,4.6195,4.7284,2447926,0
19980428,4.7467,4.7771,4.662,4.6983,2272087,0
19980429,4.7344,4.7952,4.7167,4.7527,1540348,0
19980430,4.7952,4.862,4.7527,4.8136,1391890,0
19980501,4.8136,4.8136,4.7167,4.7527,864032,0
19980504,4.7467,4.7831,4.6801,4.6983,897027,0
19980505,4.662,4.7344,4.6195,4.7167,1439723,0
19980506,4.6921,4.7651,4.6498,4.6801,1798666,0
19980507,4.6678,4.6678,4.565,4.565,907252,0
19980508,4.565,4.6195,4.565,4.5829,1101568,0
19980511,4.5772,4.6316,4.5772,4.5951,1162932,0
19980512,4.6013,4.6801,4.5951,4.6801,684560,0
19980513,4.662,4.7467,4.6435,4.6983,681920,0
19980514,4.6801,4.7527,4.6801,4.7344,888778,0
19980515,4.7344,4.8136,4.7043,4.7831,1396506,0
19980518,4.7771,4.8316,4.7771,4.8195,1655814,0
19980519,4.7952,4.8863,4.7952,4.862,1229902,0
19980520,4.8498,4.874,4.7831,4.7952,2706905,0
19980521,4.7952,4.8136,4.6983,4.7284,913849,0
19980522,4.6983,4.7771,4.662,4.7043,910886,0
19980526,4.7344,4.7344,4.6801,4.6801,1084741,0
19980527,4.6316,4.662,4.5284,4.5772,1000617,0
19980528,4.5772,4.6921,4.5772,4.6921,1828033,0
19980529,4.6801,4.7651,4.6801,4.7043,990390,0
19980601,4.7043,4.8983,4.6983,4.874,1336134,0
19980602,4.874,5.0133,4.7771,4.9649,1495809,0
19980603,4.9649,4.9773,4.8863,4.9104,1039215,0
19980604,4.8863,4.9468,4.8438,4.8863,2124954,0
19980605,4.874,4.9529,4.874,4.9165,569752,0
19980608,4.9165,4.9529,4.9104,4.9468,1043834,0
19980609,4.9104,5.0257,4.8863,5.0257,1532103,0
19980610,4.9834,5.05,4.874,4.8863,1290935,0
19980611,4.9165,4.9165,4.6983,4.6983,1737632,0
