Date,Open,High,Low,Close,Volume,OpenInt
20111216,22.6,23.6,22.5,23.6,2300,0
20111219,23.2,23.2,23,23,1340,0
20111220,23,23,20.5,22.9,2313,0
20111221,22.6,23.4,22.1,23.4,2580,0
20111222,23.1,23.1,22.9,23,1500,0
20111223,22.4,23.5,22.3,23,4001,0
20111227,23.5,23.5,22.6,23.4,3082,0
20111228,23,23.3,22.4,23.3,390,0
20111229,23.5,23.5,22.5,22.9,5131,0
20111230,23.5,23.5,22.5,23.5,2254,0
20120103,24,27.3,23.6,25.6,7032,0
20120104,26,26.4,25.6,26.1,2015,0
20120105,26.1,26.2,25.4,25.7,2208,0
20120106,25.8,26.2,25.3,25.9,2541,0
20120109,25.5,26.2,23.4,25.2,2347,0
20120110,24.9,26,24.9,25.1,2021,0
20120111,26,27.3,26,26,1085,0
20120112,26.3,27,26.3,26.6,3200,0
20120113,26.5,27,26.5,26.5,2595,0
20120117,26.4,29.5,26.4,26.9,2978,0
20120118,27,27.9,26.5,27.9,2881,0
20120119,28.2,29.9,28.2,29.1,5185,0
20120120,32.3,32.3,28.5,30,30189,0
20120123,31,31,28.5,28.8,7347,0
20120124,28.9,29.7,28.7,28.8,8066,0
20120125,29,29.3,28.4,28.9,5554,0
20120126,28.9,29.2,28.8,29.1,3016,0
20120127,28.6,31.1,26.6,28,2245,0
20120130,28,28.2,27.9,27.9,1246,0
20120131,27.7,27.7,26,26.4,5032,0
20120201,26.5,27,25.6,26.6,1860,0
20120202,26.9,27.6,26.9,27.5,2772,0
20120203,27.7,28,27.2,27.4,3230,0
20120206,27.5,28.2,27.5,27.7,2972,0
20120207,27.9,29.7,27.9,29.5,3077,0
20120208,28.8,29,27,28.5,2842,0
20120209,28.4,29.2,26.6,27.4,2953,0
20120210,27.2,27.5,26.9,27.3,4597,0
20120213,27.6,28.7,27.3,28.5,12390,0
20120214,29,29,28.1,28.6,1580,0
20120215,28.4,29.3,28,28.4,2110,0
20120216,28.5,29.4,28.5,29,1509,0
20120217,29.4,29.4,29.1,29.4,1830,0
20120221,29.1,29.7,27.7,29.4,4174,0
20120222,29.5,29.9,29.5,29.6,2911,0
20120223,29.4,30,29.4,30,1477,0
20120224,29.9,30,29.4,29.6,1760,0
20120227,29.6,29.6,29.2,29.2,246,0
20120228,29.2,29.7,29.1,29.3,634,0
20120229,29.3,29.6,29.3,29.5,310,0
20120301,29.5,30.7,29.5,29.7,4160,0
20120302,30,30.3,29.7,30.3,1152,0
20120305,30,30.2,29.6,30,1279,0
20120306,30,30,28.8,29.4,746,0
20120307,29.3,29.5,29.3,29.5,400,0
20120308,29.2,29.3,28.8,29.2,1126,0
20120309,29.2,30.2,29,29.8,1200,0
20120312,29.9,30.3,29.8,30.2,2563,0
20120313,29.8,29.8,27.9,29,1763,0
20120314,28.8,29.3,28.5,29,1024,0
20120315,29,29.2,28.8,28.9,810,0
20120316,28.6,29.2,27.6,27.6,2041,0
20120319,27.8,28.2,27.5,28,1860,0
20120320,27.5,27.7,27.3,27.4,2380,0
20120321,27.3,27.3,25.8,25.8,5024,0
20120322,25.9,25.9,24.5,25.8,13913,0
20120323,25.8,27.1,25,26.3,12324,0
20120326,25.9,27.5,25.6,26.5,4324,0
20120327,26.2,26.5,26,26.2,1180,0
20120328,32.8,32.8,25.4,25.9,3934,0
20120329,26,26.2,25.9,26.2,890,0
20120330,26.2,27,26.2,27,1000,0
20120402,26.2,26.6,26.2,26.4,735,0
20120403,26.3,26.5,26,26,710,0
20120404,25.9,25.9,25.5,25.5,338,0
20120405,25.4,25.5,25.2,25.5,469,0
20120409,25.2,25.2,25,25,1123,0
20120410,25,25,24.5,24.5,570,0
20120411,25,25.2,24.9,24.9,260,0
20120412,24.5,25.6,24.5,25.4,3371,0
20120413,25.1,25.1,25,25,1437,0
20120416,25.1,25.1,22.5,22.6,5624,0
20120417,23.5,24.5,23.5,24.5,3965,0
20120418,24.7,24.7,23.9,24.3,1211,0
20120419,24.1,24.1,24.1,24.1,1058,0
20120420,24,24,22.7,22.7,7010,0
20120423,22.1,22.4,21.6,21.6,1363,0
20120424,21.5,23.6,20.7,23.2,12935,0
20120425,23.1,23.5,22.9,23.5,2929,0
20120426,24.4,24.4,23.5,23.8,2390,0
20120427,23.7,23.7,23.1,23.4,370,0
20120430,23.7,23.7,22.8,23.2,1091,0
20120501,23,23.2,22.1,23.2,1091,0
20120502,22.9,23.2,22.8,23.2,1240,0
20120503,23,23.2,22.8,22.8,698,0
20120504,22.4,22.9,20.9,22.9,5697,0
20120507,22.8,22.8,22,22.5,1422,0
20120508,21.9,22.7,21.9,22.5,1191,0
20120509,22.2,22.9,22,22.9,1110,0
20120510,22.9,24,22.9,23.7,1055,0
20120511,22.5,24.4,22.5,24.2,3775,0
20120514,24,24,23.5,23.5,971,0
20120515,23.5,23.6,23,23,1061,0
20120516,23.3,24.1,22,22,1247,0
20120517,22.2,23.5,21.9,23.5,1057,0
20120518,23.6,23.9,23,23,1364,0
20120521,22.8,22.9,22.8,22.9,390,0
20120522,22.8,22.8,21.9,21.9,1035,0
20120523,21.6,22.3,20.9,21.9,1270,0
20120524,22.1,23.3,22.1,23.3,404,0
20120525,22.8,22.8,21.6,22.3,723,0
20120529,22.4,22.4,22,22,1500,0
20120530,21.9,21.9,21.7,21.7,233,0
20120531,22,22,20.5,20.5,516,0
20120601,20.1,21,20.1,20.8,843,0
20120604,21.1,21.6,21.1,21.2,567,0
20120605,21.3,21.4,20.3,20.3,994,0
20120606,20.6,21.2,20,21.2,15492,0
20120607,21.5,21.8,20,21.8,1407,0
20120608,21.7,22,21.7,22,856,0
20120611,22,22,21.3,21.9,774,0
