Date,Open,High,Low,Close,Volume,OpenInt
20181221,50.75,51.39,50.7499,51.27,14597,0
20181224,51.27,51.33,51.02,51.3,8770,0
20181226,51.15,51.3,51.0709,51.3,4458,0
20181227,50.77,51.202,50.77,51.2,9433,0
20181228,50.96,51.4,50.9369,51.38,13925,0
20190102,51.25,51.5,51.25,51.5,1603,0
20190103,51.2434,51.58,51.2434,51.58,900,0
20190104,51.6,51.6,51.6,51.6,100,0
20190107,51.4999,51.5,51.4511,51.5,16450,0
20190108,51.5,51.5,51.41,51.49,2500,0
20190109,51.41,51.6,51.4,51.6,2800,0
20190110,51.59,51.59,51.5,51.59,900,0
20190111,51.59,51.59,51.59,51.59,54,0
20190114,51.69,51.75,51.69,51.75,500,0
20190116,51.79,51.79,51.79,51.79,200,0
20190117,51.83,51.83,51.83,51.83,100,0
20190118,51.97,51.97,51.97,51.97,209,0
20190122,51.94,51.94,51.94,51.94,100,0
20190124,51.56,51.93,51.56,51.8,904,0
20190125,51.712,51.95,51.712,51.95,205,0
20190130,51.85,51.95,51.85,51.95,497,0
20190131,51.8354,51.9,51.75,51.9,5716,0
20190201,51.95,51.95,51.95,51.95,200,0
20190204,51.83,51.97,51.72,51.97,820,0
20190205,51.97,51.97,51.97,51.97,200,0
20190206,51.95,51.95,51.95,51.95,200,0
20190207,51.95,51.97,51.928,51.96,3211,0
20190208,51.97,52,51.97,52,2200,0
20190211,51.9505,52.1,51.85,52.1,8300,0
20190212,52,52.19,52,52.17,8400,0
20190213,52.15,52.2,52.15,52.2,1601,0
20190214,52.1677,52.25,52.1,52.25,1967,0
20190215,52.25,52.25,52.25,52.25,7,0
20190220,52.25,52.25,52.19,52.25,2298,0
20190221,52.25,52.25,52.25,52.25,25,0
20190225,52.26,52.3,52.25,52.3,5625,0
20190228,52.3,52.3,52.3,52.3,1747,0
20190301,52.35,52.35,52.2645,52.35,390,0
20190304,52.35,52.395,52.3397,52.35,6650,0
20190305,52.4,52.4018,52.4,52.4018,455,0
20190306,52.4337,52.4337,52.4337,52.4337,100,0
20190307,52.45,52.45,52.45,52.45,100,0
20190311,52.3769,52.57,52.3769,52.57,1300,0
20190312,52.67,52.78,52.67,52.78,7476,0
20190318,51.85,51.85,51.85,51.85,150,0
20190319,51.8958,51.9,51.8958,51.9,700,0
20190320,51.8465,51.9,51.8465,51.9,300,0
20190321,51.95,51.98,51.95,51.98,200,0
20190322,52,52,52,52,200,0
20190325,52.24,52.24,52.24,52.24,300,0
20190326,52.24,52.24,52.24,52.24,1,0
20190402,52.054,52.22,52.054,52.22,250,0
20190403,52.22,52.22,52.22,52.22,1,0
20190404,52.22,52.22,52.2161,52.2161,200,0
20190410,52.1364,52.24,52.1364,52.24,200,0
20190411,52.24,52.24,52.2,52.2,950,0
20190415,52.47,52.47,52.47,52.47,100,0
20190422,52.35,52.35,52.35,52.35,300,0
20190423,52.3,52.35,52.3,52.35,1050,0
20190424,52.3,52.3,52.2,52.2,1349,0
20190425,52.3,52.3,52.3,52.3,100,0
20190426,52.25,52.3,52.25,52.3,6867,0
20190429,52.3,52.3,52.3,52.3,100,0
20190430,52.46,52.46,52.46,52.46,133,0
20190501,52.47,52.5,52.47,52.5,1000,0
20190506,52.4,52.4,52.4,52.4,100,0
20190507,52.3,52.49,52.25,52.25,400,0
20190508,52.25,52.4,52.25,52.4,300,0
20190510,52.4,52.4,52.4,52.4,200,0
20190513,52.4,52.4,52.4,52.4,100,0
20190514,52.4,52.4,52.4,52.4,100,0
20190515,52.5421,52.5421,52.5421,52.5421,100,0
20190516,52.49,52.49,52.49,52.49,100,0
20190517,52.55,52.55,52.5,52.5,1100,0
20190521,52.48,52.48,52.48,52.48,980,0
20190522,52.48,52.48,52.48,52.48,700,0
20190529,52.62,52.62,52.6101,52.6101,569,0
20190530,52.62,52.62,52.62,52.62,100,0
20190603,52.62,52.62,52.62,52.62,100,0
20190604,52.61,52.61,52.61,52.61,1000,0
20190606,52.26,52.66,52.26,52.6,318,0
20190607,52.5,52.66,52.5,52.6,400,0
20190617,52.6,52.67,52.5,52.67,22806,0
20190618,51.8,51.8,51.7,51.7,697,0
20190621,51.712,51.712,51.69,51.69,1470,0
20190624,51.4,51.89,51.4,51.84,3036,0
20190626,51.8,51.8,51.8,51.8,151,0
20190627,51.8126,51.8126,51.8,51.8,604,0
20190628,51.88,51.9,51.75,51.83,5200,0
20190702,51.88,51.88,51.8345,51.8345,200,0
20190703,51.83,51.83,51.83,51.83,100,0
20190705,51.83,51.83,51.83,51.83,100,0
20190710,51.7,51.92,51.7,51.92,500,0
20190712,51.94,51.94,51.94,51.94,100,0
20190715,51.92,51.94,51.6,51.6,1300,0
20190716,51.9536,51.99,51.9536,51.99,1030,0
20190717,51.97,51.97,51.7,51.7,800,0
20190718,51.98,51.98,51.98,51.98,100,0
20190722,51.93,52,51.93,52,500,0
20190723,52,52,52,52,200,0
20190724,51.95,51.95,51.8,51.8,600,0
20190725,52,52,51.9,51.9,400,0
20190726,51.9,51.95,51.9,51.9,500,0
20190729,51.9,51.9,51.72,51.72,934,0
20190730,51.9,52,51.9,52,200,0
20190805,51.8861,51.9573,51.8861,51.9,855,0
20190806,51.9,51.9,51.9,51.9,50,0
20190807,51.9,51.9,51.9,51.9,1965,0
20190808,51.9,51.9,51.85,51.85,1147,0
20190809,51.95,51.95,51.95,51.95,100,0
20190812,51.95,51.95,51.95,51.95,100,0
20190813,51.87,52.2,51.87,52.2,3016,0
20190814,52.29,52.29,52.29,52.29,400,0
20190815,52.3,52.35,52.245,52.35,3800,0
20190816,52.35,52.35,52.3382,52.3382,690,0
20190822,52.4,52.45,52.385,52.45,3500,0
20190823,52.46,52.4879,52.3596,52.4,11032,0
20190827,52.48,52.48,52.48,52.48,100,0
20190828,52.4512,52.49,52.4477,52.49,1000,0
20190829,52.5,52.5,52.4909,52.5,4646,0
20190830,52.6,52.6,52.6,52.6,100,0
20190904,52.65,52.65,52.65,52.65,100,0
20190905,52.7,52.7,52.7,52.7,100,0
20190906,52.6027,52.7,52.6,52.7,1100,0
20190909,52.7,52.7756,52.7,52.7756,706,0
20190910,52.7,52.7,52.7,52.7,100,0
20190911,52.71,52.71,52.7,52.7,1000,0
20190912,52.7,52.7,52.7,52.7,500,0
20190916,52.7,52.75,52.5864,52.75,400,0
20190917,52.73,52.7561,52.73,52.75,3000,0
20190918,52,52.05,51.9,51.95,2167,0
20190919,51.95,51.95,51.95,51.95,100,0
20190920,51.99,51.99,51.99,51.99,700,0
20190923,51.8,51.95,51.8,51.95,200,0
20190924,52,52,51.95,51.95,1296,0
20190925,51.9357,51.99,51.85,51.85,600,0
20190926,51.99,51.99,51.9199,51.95,475,0
20190927,51.95,51.95,51.95,51.95,101,0
20190930,51.85,51.95,51.85,51.95,200,0
20191004,52,52,51.95,52,9400,0
20191009,52,52,51.9668,51.97,4383,0
20191010,52,52,51.9891,51.9999,2727,0
20191011,52.05,52.05,52.0362,52.044,2103,0
20191017,52.0038,52.0038,52.0038,52.0038,241,0
20191018,52.2,52.2,52.114,52.114,400,0
20191021,52.1402,52.1402,52.1402,52.1402,110,0
20191022,52.1685,52.1685,52.1685,52.1685,100,0
20191024,52.15,52.15,52.15,52.15,300,0
20191028,51.97,52.15,51.97,52.15,400,0
20191105,52.04,52.15,52.04,52.15,1127,0
