Date,Open,High,Low,Close,Volume,OpenInt
20050225,2.9055,2.9972,2.9055,2.9972,3335,0
20050228,2.9055,2.9055,2.9055,2.9055,822,0
20050301,2.9055,3.1347,2.9055,3.1347,13336,0
20050302,2.9055,2.9696,2.9055,2.9696,2332,0
20050303,2.8689,2.9055,2.8689,2.8689,6016,0
20050309,2.8368,2.8689,2.8368,2.8689,502,0
20050314,2.8368,2.8368,2.8368,2.8368,1450,0
20050315,2.8368,2.8552,2.8368,2.8368,2383,0
20050316,2.8552,2.8552,2.8368,2.8368,4439,0
20050317,2.8368,2.8368,2.8368,2.8368,1866,0
20050318,2.9559,2.9559,2.9559,2.9559,3513,0
20050321,2.8368,2.8368,2.8368,2.8368,4317,0
20050322,2.8368,2.8368,2.8368,2.8368,363,0
20050329,2.8368,2.8368,2.8368,2.8368,5698,0
20050330,2.8368,2.8368,2.8368,2.8368,1216,0
20050331,2.8368,2.8689,2.8047,2.8047,5957,0
20050401,2.9375,2.9375,2.8047,2.8047,6444,0
20050404,2.8047,2.8047,2.6397,2.7039,43936,0
20050405,2.6397,2.7039,2.6397,2.6397,9864,0
20050406,2.6397,2.713,2.6397,2.713,2281,0
20050407,2.7726,2.7726,2.7406,2.7542,12215,0
20050408,2.8552,2.8552,2.8552,2.8552,502,0
20050413,2.7039,2.8047,2.7039,2.8047,5043,0
20050414,2.7084,2.7084,2.7084,2.7084,527,0
20050415,2.7406,2.7406,2.7039,2.7039,3767,0
20050418,2.6901,2.6901,2.6901,2.6901,358,0
20050419,2.7726,2.7726,2.7726,2.7726,502,0
20050420,2.7726,2.7726,2.6901,2.6901,3800,0
20050421,2.7726,2.7726,2.6901,2.7406,8545,0
20050422,2.7406,2.7726,2.7406,2.7726,2507,0
20050425,2.7726,2.8872,2.7726,2.8872,12547,0
20050426,2.9559,2.9559,2.9559,2.9559,502,0
20050428,2.8552,2.8872,2.8552,2.8872,539,0
20050502,2.9559,2.9559,2.9559,2.9559,6419,0
20050503,2.7864,2.7864,2.7864,2.7864,1476,0
20050504,2.7864,2.8047,2.7864,2.7864,7121,0
20050505,2.8872,2.8872,2.7864,2.7864,4811,0
20050506,2.8872,2.8872,2.8872,2.8872,502,0
20050509,2.7864,2.8047,2.7864,2.8047,9861,0
20050510,2.8047,2.8047,2.7542,2.7542,6503,0
20050511,3.0339,3.0339,2.9421,3.0339,11554,0
20050512,3.0751,3.0934,3.0751,3.0934,3271,0
20050517,3.0934,3.1117,3.0934,3.1117,454,0
20050518,3.0934,3.1299,3.0934,3.1299,4669,0
20050520,3.1117,3.1117,3.1117,3.1117,955,0
20050523,3.2264,3.2264,3.1117,3.1117,4513,0
20050526,3.1117,3.1117,3.1117,3.1117,594,0
20050527,3.1667,3.1667,3.1117,3.1117,1075,0
20050531,3.1117,3.1117,3.1117,3.1117,3161,0
20050601,3.2264,3.2264,3.2264,3.2264,2977,0
20050602,3.1117,3.1117,3.1117,3.1117,2655,0
20050603,3.1117,3.1117,3.0934,3.0934,5304,0
20050606,3.0934,3.1117,3.0934,3.1117,517,0
20050607,3.1299,3.1299,3.1299,3.1299,1089,0
20050608,3.0934,3.0934,3.0934,3.0934,1164,0
20050609,3.0934,3.1897,3.0934,3.1897,7651,0
20050610,3.1117,3.1117,3.1117,3.1117,992,0
20050613,3.1117,3.1117,3.1117,3.1117,2507,0
20050614,3.1117,3.1117,3.1117,3.1117,854,0
20050617,3.1117,3.1117,3.1117,3.1117,1005,0
20050620,3.1117,3.1117,3.1117,3.1117,1833,0
20050624,3.1299,3.1667,3.1299,3.1667,2183,0
20050628,3.1117,3.1299,3.1117,3.1299,1744,0
20050629,3.1117,3.1484,3.0934,3.0934,9578,0
20050630,3.0934,3.0934,3.0934,3.0934,1948,0
20050701,3.0934,3.1299,3.0934,3.1299,9088,0
20050705,3.0155,3.0155,2.6948,2.9421,23045,0
20050706,3.0339,3.1117,3.0155,3.0934,7278,0
20050707,3.0155,3.0155,3.0155,3.0155,1089,0
20050708,3.0155,3.0339,3.0155,3.0155,3454,0
20050711,3.0155,3.0155,2.9972,3.0155,2926,0
20050713,2.9972,2.9972,2.9972,2.9972,1201,0
20050714,2.9972,3.0155,2.8826,2.8826,9642,0
20050718,3.0339,3.0339,2.8826,2.8826,2972,0
20050719,2.9237,2.9237,2.9237,2.9237,751,0
20050720,2.9237,2.9237,2.9237,2.9237,2283,0
20050721,3.0339,3.0339,2.9237,2.9237,992,0
20050722,2.9604,2.9604,2.9055,2.9055,9312,0
20050725,2.9055,2.9055,2.8826,2.8826,1309,0
