Date,Open,High,Low,Close,Volume,OpenInt
20050225,24.714,24.714,24.655,24.688,3444,0
20050301,24.721,24.756,24.714,24.714,3825,0
20050302,24.663,24.663,24.59,24.59,8410,0
20050303,24.585,24.585,24.585,24.585,763,0
20050304,24.585,24.585,24.518,24.518,1526,0
20050307,24.452,24.452,24.364,24.364,1144,0
20050308,24.258,24.258,24.231,24.231,1144,0
20050309,24.191,24.191,24.165,24.165,1910,0
20050310,24.063,24.063,24.063,24.063,763,0
20050311,23.942,23.942,23.942,23.942,38239,0
20050314,24.008,24.32,24.008,24.32,16439,0
20050315,24.135,24.389,24.135,24.309,16439,0
20050316,24.323,24.323,24.288,24.323,4973,0
20050317,24.282,24.282,24.244,24.244,1910,0
20050318,24.323,24.389,24.323,24.389,5355,0
20050321,24.416,24.44,24.402,24.402,1910,0
20050322,24.362,24.362,24.362,24.362,763,0
20050328,24.323,24.325,24.323,24.323,9939,0
20050329,24.244,24.282,24.165,24.165,6882,0
20050330,24.323,24.362,24.296,24.323,8793,0
20050331,24.323,24.323,24.323,24.323,7649,0
20050401,24.282,24.282,24.074,24.074,8410,0
20050404,24.063,24.063,24.063,24.063,10710,0
20050405,24.022,24.022,23.989,23.993,4209,0
20050408,23.956,23.973,23.956,23.973,1144,0
20050411,23.895,23.895,23.895,23.895,1910,0
20050412,23.797,23.797,23.733,23.733,2292,0
20050413,23.669,23.669,23.669,23.669,763,0
20050415,23.561,23.561,23.407,23.407,4209,0
20050418,23.274,23.274,23.274,23.274,1144,0
20050419,23.274,23.274,23.239,23.272,1526,0
20050420,23.28,23.28,23.28,23.28,1526,0
20050425,23.239,23.239,23.119,23.119,2676,0
20050426,23.091,23.091,23.091,23.091,387,0
20050427,23.015,23.015,22.882,22.882,2292,0
20050428,22.756,23.105,22.647,23.105,24471,0
20050429,23.16,23.538,23.16,23.538,25995,0
20050502,23.499,23.745,23.499,23.72,9939,0
20050503,23.72,23.916,23.603,23.669,25615,0
20050504,23.708,23.903,23.708,23.903,4593,0
20050505,23.696,23.745,23.645,23.645,12622,0
20050511,23.407,23.407,23.407,23.407,1910,0
20050516,23.472,23.472,23.472,23.472,763,0
20050518,23.264,23.277,23.16,23.16,2292,0
20050519,23.147,23.147,23.147,23.147,3825,0
20050520,22.882,22.882,22.882,22.882,763,0
20050523,22.819,22.842,22.491,22.56,6122,0
20050524,22.362,22.362,22.362,22.362,1144,0
20050525,22.1,22.1,21.184,21.9,48558,0
20050526,21.967,22.226,21.967,22.226,5739,0
20050527,22.226,22.425,22.226,22.425,6501,0
20050531,22.362,22.425,21.904,21.904,25234,0
20050601,21.707,21.707,21.576,21.576,4209,0
20050602,21.184,21.237,20.726,21.184,23326,0
20050603,21.181,21.181,20.595,20.662,25615,0
20050606,20.987,20.987,20.987,20.987,387,0
20050607,21.118,21.118,20.923,21.055,2292,0
20050608,20.67,20.689,20.398,20.608,18357,0
20050613,20.858,20.873,20.858,20.873,4209,0
20050614,20.412,20.412,20.398,20.398,1526,0
20050615,20.221,20.221,19.746,19.746,8793,0
20050616,19.615,19.875,19.615,19.746,3825,0
20050617,19.875,19.875,19.483,19.735,3825,0
20050620,19.444,19.444,19.098,19.349,7649,0
20050621,19.092,19.221,18.829,18.829,40910,0
20050622,18.961,19.355,18.762,18.826,36323,0
20050623,18.733,19.013,18.733,19.013,9555,0
20050624,19.066,19.615,19.013,19.615,9174,0
20050627,19.51,19.706,19.444,19.706,6501,0
20050628,19.772,20.139,19.772,20.139,21794,0
20050629,20.198,20.556,20.198,20.556,7649,0
20050630,20.62,20.841,20.62,20.832,8029,0
20050705,20.841,21.04,20.841,21.04,2292,0
20050706,21.094,21.145,21.094,21.145,1526,0
20050707,21.184,21.262,21.184,21.262,1910,0
20050708,21.262,21.498,21.262,21.445,5739,0
20050711,21.512,21.512,21.118,21.249,14531,0
20050712,20.987,21.055,20.987,21.055,4593,0
20050714,20.987,20.987,20.987,20.987,387,0
20050715,20.884,20.884,20.802,20.873,1910,0
