Date,Open,High,Low,Close,Volume,OpenInt
20100823,22.409,22.845,22.409,22.463,899,0
20100824,22.757,22.845,22.757,22.845,899,0
20100826,22.427,22.427,22.427,22.427,109,0
20100827,22.845,22.988,22.845,22.988,559,0
20100831,23.112,23.112,23.112,23.112,109,0
20100901,23.112,23.112,23.112,23.112,109,0
20100907,23.014,23.637,23.014,23.601,2420,0
20100908,23.582,23.582,23.121,23.566,1186,0
20100909,23.521,23.53,23.521,23.53,899,0
20100910,23.032,23.209,22.498,22.952,4043,0
20100914,22.63,22.934,22.597,22.934,1965,0
20100917,22.455,22.898,22.455,22.898,1349,0
20100920,22.498,22.677,22.463,22.463,1349,0
20100921,22.649,22.668,22.649,22.668,675,0
20100922,22.677,22.677,22.677,22.677,227,0
20100924,22.748,22.748,22.748,22.748,109,0
20100927,22.757,22.757,22.757,22.757,109,0
20100928,22.677,22.677,22.677,22.677,479,0
20100929,22.668,22.668,22.668,22.668,109,0
20100930,22.668,22.898,22.668,22.898,822,0
20101001,22.942,22.942,22.942,22.942,336,0
20101004,22.942,22.942,22.942,22.942,311,0
20101005,23.743,23.743,23.743,23.743,1124,0
20101007,22.988,22.988,22.988,22.988,589,0
20101008,22.996,22.996,22.996,22.996,3147,0
20101011,22.988,23.326,22.988,23.326,283,0
20101012,23.13,23.13,22.988,22.988,2137,0
20101013,23.298,23.298,23.298,23.298,336,0
20101014,22.996,23.422,22.996,23.422,421,0
20101015,22.996,22.996,22.996,22.996,377,0
20101019,22.996,22.996,22.677,22.72,3005,0
20101020,22.677,22.677,22.677,22.677,1501,0
20101021,22.72,22.72,22.72,22.72,450,0
20101022,22.668,22.695,22.668,22.695,1912,0
20101025,22.668,22.695,22.668,22.695,454,0
20101026,22.668,22.845,22.668,22.845,286,0
20101027,22.232,22.267,22.161,22.267,437,0
20101028,22.232,22.409,22.232,22.409,1349,0
20101101,22.33,22.409,22.32,22.32,3205,0
20101103,22.615,22.615,22.615,22.615,109,0
20101104,23.023,23.023,23.023,23.023,227,0
20101108,22.534,22.677,22.196,22.677,1236,0
20101109,22.32,22.32,22.116,22.116,633,0
20101110,22.232,22.455,22.232,22.455,3276,0
