Date,Open,High,Low,Close,Volume,OpenInt
20180822,2.36,2.42,2.15,2.42,30774,0
20180823,2.18,2.54,2.18,2.4,93253,0
20180824,2.4042,2.51,2.38,2.4493,77766,0
20180827,2.47,2.51,2.4459,2.4968,22985,0
20180828,2.5,2.6,2.4532,2.6,44061,0
20180829,2.6,2.6,2.51,2.56,43727,0
20180830,2.5,2.58,2.45,2.52,27780,0
20180831,2.49,2.57,2.39,2.45,72712,0
20180904,2.45,2.55,2.36,2.4,56234,0
20180905,2.36,2.5,2.32,2.4,63199,0
20180906,2.43,2.455,2.2801,2.44,27701,0
20180907,2.5,2.5,2.3247,2.37,28773,0
20180910,2.4,2.4,2.3,2.32,28149,0
20180911,2.3,2.32,2.2,2.2478,57432,0
20180912,2.24,2.48,2.23,2.43,56043,0
20180913,2.5,2.5,2.402,2.4258,50866,0
20180914,2.42,2.45,2.39,2.415,13818,0
20180917,2.44,2.5,2.43,2.4459,31418,0
20180918,2.476,2.4985,2.35,2.35,62038,0
20180919,2.4,2.56,2.3,2.5,87747,0
20180920,2.5,2.71,2.5,2.5712,103538,0
20180921,2.59,2.62,2.45,2.56,15014,0
20180924,2.54,2.5632,2.4259,2.45,25084,0
20180925,2.48,2.49,2.47,2.49,7738,0
20180926,2.48,2.49,2.4301,2.4492,32446,0
20180927,2.44,2.4699,2.4,2.41,17601,0
20180928,2.42,2.5,2.42,2.45,37935,0
20181001,2.48,2.5,2.4001,2.5,61547,0
20181002,2.56,2.56,2.45,2.5,54054,0
20181003,2.89,2.9,2.55,2.7,428366,0
20181004,2.7,2.71,2.55,2.6475,145942,0
20181005,2.72,2.9,2.55,2.9,88298,0
20181008,2.9,3,2.73,2.73,74610,0
20181009,2.86,3,2.55,3,77931,0
20181010,2.99,2.99,2.51,2.525,143093,0
20181011,2.91,2.91,2.5401,2.68,122995,0
20181012,2.62,2.8999,2.62,2.65,92911,0
20181015,2.7,2.82,2.6509,2.82,115792,0
20181016,2.82,2.9,2.7608,2.9,141183,0
20181017,2.9,2.9,2.79,2.79,57295,0
20181018,2.85,2.85,2.73,2.84,41586,0
20181019,2.9,2.95,2.75,2.95,34832,0
20181022,3.07,3.07,2.7142,2.79,68595,0
20181023,2.97,3.0262,2.72,2.78,116582,0
20181024,2.81,2.82,2.69,2.75,61361,0
20181025,2.73,2.73,2.51,2.56,116505,0
20181026,2.54,2.68,2.5301,2.63,84865,0
20181029,2.66,2.66,2.5492,2.6,100744,0
20181030,2.55,2.55,2.49,2.53,114939,0
20181031,2.53,2.63,2.51,2.63,81303,0
20181101,2.61,2.87,2.61,2.8604,114289,0
20181102,2.8,2.89,2.75,2.75,78794,0
20181105,2.75,2.838,2.75,2.8,65823,0
20181106,2.75,2.78,2.75,2.76,22533,0
20181107,2.72,2.79,2.67,2.68,55842,0
20181108,2.73,2.73,2.65,2.65,60125,0
20181109,2.6,2.65,2.55,2.6346,109136,0
20181112,2.65,2.67,2.5,2.54,82651,0
20181113,2.49,2.4917,2.25,2.3101,176538,0
20181114,2.31,2.4614,2.28,2.3835,83557,0
20181115,2.35,2.49,2.3,2.44,50820,0
20181116,2.48,2.6372,2.4732,2.6,91806,0
20181119,2.53,2.58,2.5,2.5,73508,0
20181120,2.56,2.599,2.48,2.53,131871,0
20181121,2.6,2.7,2.4,2.7,37988,0
20181123,2.7,2.7,2.21,2.23,85703,0
20181126,2.29,2.45,2.22,2.45,59055,0
20181127,2.52,2.52,2.21,2.42,46103,0
20181128,2.42,2.45,2.2914,2.32,87217,0
20181129,2.44,2.59,2.42,2.45,177628,0
20181130,2.51,2.549,2.4347,2.4778,30339,0
20181203,2.5,2.5,2.4,2.42,33240,0
20181204,2.49,2.56,2.41,2.4313,46430,0
20181206,2.43,2.49,2.37,2.453,38086,0
20181207,2.41,2.507,2.25,2.25,40611,0
20181210,2.37,2.46,2.37,2.45,78144,0
20181211,2.45,2.47,2.412,2.44,33333,0
20181212,2.4308,2.49,2.42,2.4422,54813,0
20181213,2.43,2.45,2.37,2.45,60312,0
20181214,2.42,2.45,2.3933,2.42,103805,0
20181217,2.27,2.44,2.27,2.39,113101,0
20181218,2.35,2.39,2.28,2.31,63865,0
20181219,2.28,2.41,2.25,2.2588,137476,0
20181220,2.25,2.4099,2.25,2.28,85835,0
20181221,2.35,2.46,2.28,2.445,69553,0
20181224,2.46,2.74,2.39,2.5,64140,0
20181226,2.58,2.75,2.54,2.73,32430,0
20181227,2.72,2.72,2.4522,2.55,57676,0
20181228,2.6,2.68,2.5501,2.65,36300,0
20181231,2.71,2.96,2.7,2.93,164050,0
20190102,2.96,2.96,2.76,2.829,83428,0
20190103,2.78,3,2.78,2.9634,82071,0
20190104,3,3,2.81,2.946,45037,0
20190107,2.99,2.99,2.8422,2.95,71679,0
20190108,2.91,2.9882,2.85,2.8896,25169,0
20190109,2.96,3.23,2.93,3.2201,154215,0
20190110,3.36,3.36,3.0548,3.1725,153088,0
20190111,3.24,3.26,2.94,3.16,233588,0
20190114,3.16,3.16,2.95,2.9807,71470,0
20190115,2.97,3.02,2.9,2.93,67629,0
20190116,2.88,3,2.88,2.94,22276,0
20190117,2.91,3.04,2.91,3.0386,14962,0
20190118,3.08,3.08,2.9,3.03,28327,0
20190122,3.03,3.23,3.03,3.23,72204,0
20190123,3.14,3.3922,3.1,3.17,53688,0
20190124,3.2,3.3439,3.15,3.28,55602,0
20190125,3.3,3.53,3.29,3.5,200077,0
20190128,3.52,3.53,3.46,3.47,47487,0
20190129,3.57,3.61,3.42,3.5,59857,0
20190130,3.66,3.66,3.35,3.63,90140,0
20190131,3.66,3.72,3.4685,3.72,190424,0
20190201,3.76,3.79,3.551,3.77,105695,0
20190204,3.82,3.82,3.63,3.74,97645,0
20190205,3.82,3.82,3.65,3.76,65346,0
20190206,3.73,3.81,3.65,3.81,55523,0
20190207,3.73,3.75,3.54,3.72,110338,0
20190208,3.87,3.87,3.65,3.72,73044,0
20190211,3.73,3.77,3.6401,3.72,68090,0
20190212,3.67,3.72,3.63,3.63,44753,0
20190213,3.61,3.66,3.6078,3.61,27380,0
20190214,3.61,3.64,3.5523,3.6,97202,0
20190215,3.68,3.73,3.6,3.7,71294,0
20190219,3.8,3.85,3.6,3.75,100216,0
20190220,3.8,3.8,3.6516,3.7599,79569,0
20190221,3.75,3.75,3.64,3.74,199566,0
20190222,3.76,3.78,3.7,3.7077,155640,0
20190225,3.75,3.89,3.67,3.76,122734,0
20190226,3.88,3.88,3.74,3.86,88983,0
20190227,3.87,3.87,3.74,3.83,66141,0
20190228,3.82,3.82,3.69,3.69,41904,0
20190301,3.64,3.68,3.52,3.57,123272,0
20190304,3.5,3.57,3.27,3.47,166172,0
20190305,3.5,3.5581,3.48,3.55,90221,0
20190306,3.62,3.62,3.41,3.49,33661,0
20190307,3.75,3.75,3.36,3.49,88667,0
20190308,3.65,3.65,3.5,3.6,76544,0
20190311,3.67,3.67,3.54,3.59,75895,0
20190312,3.67,3.67,3.51,3.58,55725,0
20190313,3.79,3.79,3.5376,3.74,84702,0
20190314,3.6,3.7999,3.5,3.51,72259,0
20190315,3.46,3.6799,3.42,3.43,97087,0
20190318,3.45,3.6,3.45,3.52,55483,0
20190319,3.55,3.6299,3.5,3.54,41798,0
20190320,3.47,3.59,3.47,3.52,62936,0
20190321,3.54,3.6292,3.54,3.58,30505,0
20190322,3.53,3.62,3.53,3.5958,37921,0
20190325,3.69,3.69,3.5,3.57,53945,0
20190326,3.62,3.62,3.5175,3.61,35338,0
20190327,3.55,3.61,3.45,3.47,60623,0
20190328,3.45,3.46,3.23,3.42,66439,0
20190329,3.47,3.5,3.24,3.2751,31253,0
20190401,3.3,3.3,3.06,3.19,86903,0
20190402,3.19,3.2542,3.1537,3.2,46720,0
20190403,3.26,3.3,3.15,3.24,50276,0
20190404,3.2,3.4133,3.15,3.35,35032,0
20190405,3.38,3.4699,3.3,3.42,47354,0
20190408,3.42,3.5099,3.38,3.39,86943,0
20190409,3.54,3.55,3.45,3.5,46495,0
20190410,3.47,3.47,3.3811,3.43,15558,0
20190411,3.3,3.45,3.25,3.36,29882,0
20190412,3.28,3.4,3.28,3.3,44261,0
20190415,3.3,3.3373,3.17,3.26,100204,0
20190416,3.22,3.2633,3.07,3.08,64082,0
20190417,3.05,3.3,3.05,3.18,90301,0
20190418,3.25,3.47,3.1701,3.4,97114,0
20190422,3.49,3.49,3.27,3.4,66441,0
20190423,3.35,3.3635,3.2635,3.285,31801,0
20190424,3.23,3.3299,3.2261,3.26,48734,0
20190425,3.3,3.38,3.23,3.29,38852,0
20190426,3.29,3.36,3.27,3.35,52409,0
20190429,3.43,3.48,3.28,3.43,73210,0
20190430,3.53,3.6,3.26,3.6,60411,0
20190501,3.5,3.5,3.19,3.19,44636,0
20190502,3.15,3.29,3.1001,3.29,71074,0
20190503,3.3,3.3,3.16,3.18,35037,0
20190506,3.12,3.21,3.1,3.11,61719,0
20190507,3.07,3.2,3.07,3.07,21890,0
20190508,3.14,3.25,3.14,3.18,45775,0
20190509,3.2144,3.2144,3.12,3.14,22677,0
20190510,3.12,3.25,3.12,3.25,14099,0
20190513,3.28,3.28,3.02,3.11,62841,0
20190514,3.14,3.23,2.96,3.23,24816,0
20190515,3.16,3.4611,3.15,3.2,163195,0
20190516,3.5,3.56,3.34,3.4,83247,0
20190517,3.47,3.65,3.26,3.65,139733,0
20190520,3.61,3.7437,3.409,3.43,44623,0
20190521,3.49,3.59,3.3,3.59,111277,0
20190522,3.55,3.55,3.15,3.15,109425,0
20190523,3.15,3.46,3.15,3.29,79384,0
20190524,3.32,3.45,3.22,3.3632,34846,0
20190528,3.29,3.38,3.29,3.3,33018,0
20190529,3.3,3.4,3.26,3.33,98918,0
20190530,3.31,3.39,3.3,3.37,43615,0
20190531,3.47,3.5,3.31,3.5,52932,0
20190603,3.6,3.7692,3.401,3.62,207507,0
20190604,3.57,3.73,3.45,3.6,117202,0
20190605,3.5935,3.63,3.5,3.54,49734,0
20190606,3.51,3.5997,3.4,3.505,38412,0
20190607,3.58,3.6192,3.48,3.57,64644,0
20190610,3.38,3.53,3.26,3.38,83905,0
20190611,3.4,3.65,3.4,3.64,67464,0
20190612,3.7,3.7299,3.5663,3.69,43909,0
20190613,3.75,3.75,3.61,3.75,40465,0
20190614,3.79,3.84,3.6,3.62,49514,0
20190617,3.61,3.74,3.6,3.6,25762,0
20190618,3.67,3.9,3.6147,3.745,116984,0
20190619,3.77,3.95,3.7,3.95,48041,0
20190620,3.95,4,3.8776,3.975,128655,0
20190621,3.95,4,3.92,3.97,46566,0
20190624,3.97,4.14,3.93,4.12,120563,0
20190625,4.12,4.12,3.8,3.8,86649,0
20190626,3.89,4.22,3.82,4.22,68888,0
20190627,4.3,4.3,3.94,3.94,138201,0
20190628,4.04,4.07,3.9,4.06,86271,0
20190701,4.12,4.12,3.9,3.92,43487,0
20190702,3.93,3.94,3.74,3.85,162253,0
20190703,3.97,4.07,3.84,4.07,76986,0
20190705,3.95,4,3.79,3.91,130276,0
20190708,3.93,3.93,3.81,3.87,42494,0
20190709,3.81,3.93,3.81,3.85,32573,0
20190710,3.87,3.9999,3.87,3.99,60873,0
20190711,3.92,4,3.8,3.8,62681,0
20190712,3.89,4.0001,3.76,3.87,67428,0
20190715,3.93,3.986,3.8,3.98,59846,0
20190716,3.92,3.98,3.86,3.93,105824,0
20190717,3.93,4.52,3.93,4.43,394924,0
20190718,4.55,5.08,4.43,4.84,443335,0
20190719,4.89,5.2,4.66,4.81,438207,0
20190722,5.13,5.13,4.64,4.96,272096,0
20190723,4.7,4.85,4.6,4.72,275624,0
20190724,4.99,5.29,4.77,5.29,272384,0
20190725,5.23,5.254,4.86,5.04,270615,0
20190726,5.05,5.23,5,5.1,151033,0
20190729,5.15,5.27,4.9,5.26,130333,0
20190730,5.32,5.65,5.28,5.44,211832,0
20190731,5.36,5.5299,5.22,5.27,178619,0
20190801,5.14,5.5,4.9,5.43,259980,0
20190802,5.58,5.58,5.25,5.45,157042,0
20190805,5.63,6.1443,5.45,5.98,336243,0
20190806,6.06,6.06,5.74,5.83,213358,0
20190807,6.13,6.35,5.65,5.76,406709,0
20190808,5.77,6.1388,5.42,6.08,272255,0
20190809,6.08,6.3,5.94,6.23,311669,0
20190812,6.31,6.3871,6.08,6.19,277636,0
20190813,6.25,6.25,5.85,5.88,342086,0
20190814,5.97,6.031,5.56,5.73,361032,0
20190815,5.66,5.744,5.35,5.54,308540,0
20190816,5.4,5.53,5.11,5.43,247713,0
20190819,5.16,5.34,5.05,5.27,354929,0
20190820,5.2,5.7,5.2,5.59,179668,0
20190821,5.59,5.8,5.5599,5.78,152717,0
20190822,5.87,6.04,5.7,5.99,397480,0
20190823,5.99,6.06,5.84,5.97,423543,0
20190826,6.19,6.19,5.9027,6.03,553821,0
20190827,6.12,6.5,6.11,6.5,740947,0
20190828,6.69,6.69,6.3,6.44,499418,0
20190829,6.5,6.62,6.18,6.32,387206,0
20190830,6.24,6.4,6.05,6.15,332122,0
20190903,6.3,6.55,6.3,6.5,511532,0
20190904,6.5,6.53,6.18,6.24,448368,0
