Date,Open,High,Low,Close,Volume,OpenInt
20061114,119.77,119.77,119.77,119.77,0,0
20061115,124.04,136.87,124.04,125.18,514613,0
20061116,126.03,128.32,125.54,127.3,62681,0
20061117,128.03,132.03,125.98,131.24,43611,0
20061120,131.17,131.75,128.38,131.75,24410,0
20061121,132.61,132.61,130.04,131.29,15361,0
20061122,131.56,132.03,130.04,131.47,12994,0
20061124,132.31,132.31,131.17,131.75,10539,0
20061127,131.75,131.75,130.71,131.7,17359,0
20061128,131.75,131.75,130.94,131.7,11117,0
20061129,131.47,132.38,131.17,132.14,27056,0
20061130,131.75,132.03,131.29,131.75,21147,0
20061201,131.75,132.31,131.33,131.75,12485,0
20061204,132.03,132.03,131.47,131.75,9713,0
20061205,131.4,134.02,131.17,132.61,13745,0
20061206,132.61,134.36,132.2,133.79,14466,0
20061207,134.32,135.86,131.47,132.61,15870,0
20061208,133.18,133.33,131.29,132.03,11064,0
20061211,133.18,133.18,130.61,132.38,21797,0
20061212,132.61,133.73,132.03,133.06,25495,0
20061213,132.54,133.33,132.03,133.18,12731,0
20061214,132.31,135.47,132.31,132.88,15570,0
20061215,132.31,132.54,131.56,132.31,9644,0
20061218,132.88,135.11,131.75,134.36,21478,0
20061219,134.62,137.72,134.02,136.87,15570,0
20061220,136.59,143.71,136.59,143.32,10187,0
20061221,142.87,144.01,140.3,143.71,13062,0
20061222,144.57,145.14,142.87,145.14,6014,0
20061226,145.43,145.43,142.69,145.14,65159,0
20061227,144.57,147.71,144.01,146,20675,0
20061228,146.86,147.26,144.69,145.38,7222,0
20061229,144.57,145.43,144.57,145.38,5505,0
20070103,146,146,141.21,142.3,18483,0
20070104,142,142,137.45,140.3,20146,0
20070105,139.71,139.96,138.02,139.96,12239,0
20070108,139.71,139.71,138.14,139.39,25495,0
20070109,139.44,139.44,138.29,139.15,23675,0
20070110,138.59,138.59,136.87,138.29,20552,0
20070111,136.93,141.16,136.3,141.16,22303,0
20070112,140.87,140.87,139.71,140.02,3595,0
20070116,140.87,141.16,137.56,140.87,9346,0
20070117,141.44,142.3,140.02,141.44,4995,0
20070118,142.57,144.33,140.3,141.44,7454,0
20070119,141.16,142.57,139.71,140.87,7767,0
20070122,141.44,141.55,138.59,139.96,8680,0
20070123,140.49,143.84,140.12,142.3,15675,0
20070124,142.87,144.57,142.35,143.08,7294,0
20070125,143.32,144.29,143.15,144.29,6065,0
20070126,144.33,146.52,144.01,144.74,4908,0
20070129,144.57,145.71,141.72,143.43,4682,0
20070130,143.26,143.26,140.3,140.81,8608,0
20070131,141.72,141.77,139.15,140.3,10134,0
20070201,141.16,141.21,140.34,141.21,3157,0
20070202,141.44,143.93,141.44,143.84,3734,0
20070205,144.87,146.52,142,145.38,4120,0
20070206,144.69,145.71,144.01,145.71,3525,0
20070207,146.29,149.13,145.43,146.55,3997,0
20070208,146.55,152.89,145.71,150,3774,0
20070209,151.02,153.71,150.57,152.89,4157,0
20070212,152.27,153.13,143.43,148.51,10081,0
20070213,148.28,152.21,146,152.21,12571,0
20070214,150.28,151.2,148.28,150.85,5836,0
20070215,150.33,153.98,148.68,148.92,6224,0
