Date,Open,High,Low,Close,Volume,OpenInt
20180511,5.85,5.85,5.6,5.6,14717,0
20180514,5.31,5.65,5.29,5.3,12216,0
20180515,4.76,5.31,4.76,5.3,7780,0
20180516,5.6,5.6,4.81,5.05,41230,0
20180517,4.61,5.2763,4.61,5.25,6716,0
20180518,4.92,5.62,4.92,5.62,1760,0
20180521,5.5044,5.5044,5.24,5.4782,1102,0
20180522,5.4001,5.4001,5.01,5.22,1364,0
20180523,4.91,5.21,4.91,5.21,5888,0
20180524,4.93,5.1,4.9,5.1,4467,0
20180525,4.55,5.01,4.55,4.95,4973,0
20180529,4.46,5,4.46,5,2554,0
20180530,4.9999,5.48,4.9905,5.35,5329,0
20180531,5.35,5.35,5.05,5.05,7288,0
20180601,5.15,5.3836,5.15,5.3836,605,0
20180604,4.92,5,4.1909,4.1909,7729,0
20180605,4.3,4.3001,4.3,4.3001,931,0
20180606,4.3,4.55,4.3,4.55,5920,0
20180607,4.0601,4.4389,4.0601,4.41,2901,0
20180608,3.91,4.51,3.91,4.5,2888,0
20180611,4.0301,4.7648,4.0301,4.75,3835,0
20180612,4.26,5.3,4.26,4.8,4331,0
20180613,4.85,5,4.55,5,3191,0
20180614,5.36,5.5,4.55,5.3,5024,0
20180615,5,5.0249,4.98,5.0249,3572,0
20180618,4.55,5.4,4.53,5.25,6082,0
20180619,4.95,4.95,4.75,4.77,3223,0
20180620,4.35,4.65,4.35,4.6,4079,0
20180621,4.38,4.65,4.38,4.38,22650,0
20180622,4.646,5.2001,4.646,5.12,8175,0
20180625,4.61,4.8762,4.61,4.83,2922,0
20180626,4.83,5.25,4.75,5.25,6689,0
20180627,5.628,5.8,5.01,5.4,17873,0
20180628,5.01,5.01,4.88,4.88,1537,0
20180629,5.05,5.05,4.75,4.75,1035,0
20180702,4.7,5.01,4.7,5.01,2393,0
20180705,5.1,5.1,4.63,4.7531,1116,0
20180706,4.85,5.31,4.85,5.31,2782,0
20180709,5.78,5.9,5.02,5.9,5635,0
20180710,5.32,6,5.32,5.6672,2089,0
20180711,5.66,5.807,5.66,5.66,2606,0
20180712,5.34,5.34,5.07,5.07,805,0
20180713,4.71,4.71,4.71,4.71,586,0
20180716,4.75,4.75,4.55,4.5725,838,0
20180717,4.59,4.65,4.49,4.5,2517,0
20180718,4.52,4.85,4.5,4.51,8345,0
20180719,4.31,5.3,4.31,5.3,5136,0
20180720,5.49,5.49,5.49,5.49,478,0
20180723,5.46,5.5,5.46,5.5,3016,0
20180724,5.5,5.95,4.96,5.6,4378,0
20180725,5.61,5.61,5.61,5.61,2439,0
20180726,5.05,6,5.01,6,2381,0
20180727,5.35,5.94,5.0101,5.0101,1953,0
20180730,5.51,6.4,5.15,6.4,9841,0
20180731,5.88,6.55,5.82,6.05,5783,0
20180801,6.25,6.45,6.25,6.35,3845,0
20180802,6.45,6.66,6.16,6.66,7769,0
20180803,6.29,6.29,6.07,6.16,789,0
20180806,6.8436,6.8436,6.21,6.22,4080,0
20180807,6.05,6.1,5.6169,5.8,8715,0
20180808,5.33,5.5,5.3,5.5,1793,0
20180809,5.15,5.3,5.15,5.2,857,0
20180810,5.2,5.2,4.8,4.85,6615,0
20180813,4.74,4.74,4.52,4.52,8441,0
20180814,4.6065,4.62,4.24,4.59,27806,0
20180815,4.4,4.4,4.4,4.4,2001,0
20180816,4.35,4.88,3.91,4.24,13857,0
20180817,3.8,4.3,3.7501,4.2,3974,0
20180820,3.9511,4.25,3.76,3.9,13335,0
20180821,4.15,4.15,3.9,3.9,8494,0
20180822,4.11,4.25,4.1,4.1,13332,0
20180823,3.6501,4.2315,3.6501,4.01,2199,0
20180824,4.05,4.05,4.05,4.05,662,0
20180827,4.46,5.07,4.46,5.07,3466,0
20180828,5.07,5.21,5.07,5.21,5110,0
20180829,5.62,5.63,5.0712,5.25,14824,0
20180830,5.3,5.35,4.8,5.35,4107,0
20180831,4.85,5.46,4.85,5.46,2355,0
20180904,5.46,5.5,4.85,5.12,15118,0
20180905,4.56,4.8383,4.56,4.7428,2882,0
20180907,4.27,4.63,4,4.63,1789,0
20180910,4.72,5.49,4.72,5.37,11958,0
20180911,5.65,5.65,5.1601,5.1601,1653,0
20180912,5.61,5.95,5.424,5.5,11343,0
20180913,5.55,5.6315,5.24,5.24,3900,0
20180917,4.7901,4.82,4.62,4.62,2260,0
20180918,4.62,4.62,4.1,4.1,4896,0
20180919,4.25,4.55,4.25,4.26,4914,0
20180920,4.21,4.21,4.05,4.05,16149,0
20180921,4.05,4.26,4.05,4.25,4129,0
20180924,4.11,4.74,4.11,4.74,4775,0
20180925,4.3,4.71,4.27,4.7,1273,0
20180926,4.26,4.79,4.26,4.79,7349,0
20180927,4.5672,4.5672,4.5672,4.5672,225,0
20180928,4.73,4.9,4.48,4.53,2322,0
20181001,4.21,4.25,4.11,4.15,2499,0
20181002,4.12,4.6,4.12,4.2905,2646,0
20181003,4.64,5.01,4.64,4.7883,5371,0
20181004,4.62,4.62,4.26,4.32,9562,0
20181005,4.3601,4.56,4.3601,4.56,768,0
20181008,4.3,4.577,4.3,4.577,3143,0
20181010,4.37,4.37,4.2,4.2,7140,0
20181011,4,4.38,3.85,4,24616,0
20181012,4.1,4.1,4.1,4.1,399,0
20181015,4.15,4.15,4.1,4.1,1323,0
20181016,4.3601,4.3601,4.25,4.25,1871,0
20181017,4.2,4.2,3.55,3.7,26573,0
20181018,3.75,3.75,3.665,3.6888,8940,0
20181019,3.75,3.92,3.6892,3.85,4197,0
20181022,3.85,3.86,3.75,3.75,1252,0
20181023,3.5,3.5,3.09,3.0993,1760,0
20181024,3.25,3.55,2.6,3,1877,0
20181025,3.001,3.25,3,3.156,4948,0
20181026,2.84,2.98,2.84,2.98,5176,0
20181029,2.9,2.99,2.65,2.65,7819,0
20181030,2.61,2.67,2.04,2.61,3350,0
20181031,2.64,2.6479,2.64,2.6479,259,0
20181101,2.8492,2.8492,2.7995,2.7995,499,0
20181102,2.8,2.8,2.67,2.67,17740,0
20181105,2.63,2.63,2.59,2.6,2707,0
20181106,2.75,3.04,2.75,2.95,19831,0
20181107,2.95,3.27,1.68,2.5527,11996,0
20181108,2.53,2.53,2.185,2.185,6199,0
20181109,2.18,2.44,1.85,2.44,8574,0
20181112,2.44,2.44,2.44,2.44,1033,0
20181113,2.17,2.17,2.15,2.15,2588,0
20181114,1.72,2.11,1.72,2.05,14092,0
20181115,1.81,2.203,1.81,2.02,1133,0
20181116,1.91,2.01,1.91,2,8764,0
20181119,2.02,2.02,1.9,1.9,1173,0
20181120,1.8,1.85,1.5,1.5,13406,0
20181121,1.55,1.71,1.55,1.7001,1066,0
20181126,1.71,1.7704,1.71,1.7535,5446,0
20181127,1.57,1.5747,1.57,1.5747,292,0
20181128,1.63,1.81,1.55,1.81,6714,0
20181129,1.81,1.81,1.79,1.81,6852,0
20181130,1.66,1.908,1.57,1.6001,4175,0
20181203,1.78,1.9,1.72,1.9,5795,0
20181204,1.65,1.65,1.65,1.65,527,0
20181207,1.61,1.9,1.61,1.75,23172,0
20181210,1.61,1.61,1.5,1.5,2586,0
20181211,1.5,1.5,1.46,1.46,694,0
20181212,1.45,1.7085,1.45,1.5985,11104,0
20181213,1.48,1.6295,1.45,1.45,2085,0
20181214,1.45,1.45,1.45,1.45,65,0
20181217,1.45,1.45,1.45,1.45,485,0
20181218,1.431,1.45,1.0201,1.14,1519,0
20181219,1.05,1.36,1.04,1.36,949,0
20181220,1.08,1.2,1,1,901,0
20181221,0.95,1,0.95,1,7302,0
20181224,1,1,1,1,695,0
20181226,1.1,1.1,1,1,988,0
20181227,0.85,1.1,0.85,1.1,6020,0
20181228,1.101,1.2445,0.95,1.1,7255,0
20181231,0.9001,1.44,0.9,1.1255,6541,0
20190102,1.05,1.1,1.022,1.1,9936,0
20190103,1.24,1.24,1.24,1.24,466,0
20190104,1.35,1.35,1.35,1.35,352,0
20190108,1.4,1.4,1.4,1.4,430,0
20190109,1,1.4,1,1.4,7898,0
20190110,1.4287,1.4287,1.4287,1.4287,168,0
20190111,1.4287,1.4287,1.4287,1.4287,310,0
20190114,1.26,1.26,1.26,1.26,194,0
20190115,1.4,1.44,1.35,1.35,833,0
20190116,1.42,1.58,1.42,1.573,1963,0
20190117,1.31,1.41,1.31,1.36,4330,0
20190118,1.36,1.67,1.36,1.595,4881,0
20190122,1.5176,1.5176,1.5176,1.5176,201,0
20190123,1.5176,1.5176,1.5176,1.5176,23,0
20190124,1.5,1.59,1.5,1.57,1167,0
20190125,1.38,1.43,1.361,1.43,1256,0
20190128,1.8,1.8,1.36,1.36,3800,0
20190130,1.4,1.4,1.4,1.4,873,0
20190131,1.41,1.524,1.36,1.36,3202,0
20190201,1.36,1.36,1.36,1.36,678,0
20190205,1.36,1.6161,1.36,1.6019,1723,0
20190206,1.6019,1.6019,1.6019,1.6019,167,0
20190207,1.45,1.539,1.45,1.539,354,0
20190208,1.42,1.42,1.41,1.41,2608,0
20190211,1.496,1.496,1.2843,1.2965,4967,0
20190212,1.12,1.269,1.12,1.269,1227,0
20190214,1.33,1.3362,1.33,1.3362,241,0
20190215,1.525,1.8,1.525,1.7927,1789,0
20190219,1.32,1.8,1.32,1.7654,1671,0
20190220,1.36,2,1.36,2,12480,0
20190221,1.52,1.52,1.52,1.52,300,0
20190222,1.7,1.7,1.7,1.7,102,0
20190225,2,2,2,2,271,0
20190226,1.56,1.56,1.56,1.56,252,0
20190227,1.77,2,1.77,2,6334,0
20190228,2,2,2,2,118,0
20190301,1.98,1.98,1.92,1.92,2197,0
20190304,1.9854,1.9854,1.9854,1.9854,452,0
20190305,1.61,1.8062,1.53,1.59,5439,0
20190306,1.55,1.55,1.55,1.55,335,0
20190307,1.6,1.865,1.55,1.71,3452,0
20190308,1.55,1.55,1.55,1.55,341,0
20190311,1.57,1.58,1.5,1.5,4363,0
20190312,1.65,1.65,1.65,1.65,148,0
20190313,1.51,1.7865,1.51,1.7406,1576,0
20190314,1.71,2.8,1.71,2.67,5232,0
20190315,2.1,2.1103,2.1,2.1103,266,0
20190319,2.5,2.63,2.41,2.51,8748,0
20190320,2.6,2.88,2.6,2.88,1737,0
20190321,2.88,2.88,2.88,2.88,3765,0
20190322,3.38,3.5,3.05,3.25,135990,0
20190325,3.5,3.5399,3.17,3.36,64234,0
20190326,3.47,3.69,3.4505,3.6329,16879,0
20190327,3.75,3.75,3.63,3.7,9090,0
20190328,4.2,4.2,3.6,3.7388,8723,0
20190329,3.8225,3.87,3.4827,3.79,6066,0
20190401,3.75,3.75,3.4102,3.4102,10957,0
20190402,3.374,3.547,3.25,3.474,11679,0
20190403,3.75,3.9399,3.3476,3.3476,8959,0
20190404,3.5,3.55,3.35,3.55,2319,0
20190405,3.69,3.69,3.12,3.5739,5493,0
20190408,3.59,3.59,3,3,9721,0
20190409,3,3.5,3,3.31,2711,0
20190410,3.31,3.31,3.25,3.2797,1341,0
20190411,3.13,3.39,3.12,3.12,4561,0
20190412,3.37,3.6548,3.37,3.65,10090,0
20190415,3.5903,3.9,3.4,3.5319,2159,0
20190416,3.72,3.75,3.6,3.6001,4151,0
20190417,3.7,3.8,3.6999,3.8,2914,0
20190418,3.97,3.98,3.7103,3.75,2033,0
20190422,3.7,4.2,3.7,4.1,18489,0
20190423,4.05,4.5786,4.05,4.4391,10380,0
20190424,4.25,4.25,4,4,3365,0
20190425,3.7792,3.8,3.75,3.8,1271,0
20190426,3.61,3.62,3.4257,3.48,7076,0
20190429,3.6,4.0806,3.6,4.0806,6448,0
20190430,3.6455,4.14,3.6455,4.14,5290,0
20190501,3.83,4.27,3.83,4.167,6398,0
20190502,3.83,3.83,3.4586,3.4586,2144,0
20190503,3.84,3.85,3.6989,3.6989,1963,0
20190507,3.72,3.75,3.72,3.72,1098,0
20190508,3.75,3.78,3.73,3.78,1536,0
20190509,3.76,3.7601,3.0223,3.31,7263,0
20190510,3.66,3.66,3.31,3.3661,5184,0
20190513,3.4,3.4,3.06,3.21,7877,0
20190514,3.3,3.45,3.3,3.45,1832,0
20190515,3.3,3.3,3.2625,3.2625,1246,0
20190516,3.33,3.424,3.31,3.42,1981,0
20190517,3.04,3.2393,3.03,3.06,3540,0
20190520,3.02,3.23,3.02,3.23,3017,0
20190521,3.2397,3.25,3,3.25,11683,0
20190522,3.16,3.16,2.95,2.95,5225,0
20190523,2.9,2.9,2.15,2.15,30271,0
20190524,2.512,2.512,2.2,2.22,1320,0
20190528,2.22,2.231,2.1,2.2209,2821,0
20190529,2.19,2.39,2.188,2.26,3383,0
20190530,2.27,2.27,2.11,2.1206,2046,0
20190531,2,2,1.62,1.64,16274,0
20190603,1.79,1.9,1.79,1.9,2925,0
20190604,1.93,1.93,1.8,1.8,2131,0
20190605,1.62,1.9,1.6,1.6,16475,0
20190606,1.6,1.6,1.6,1.6,316,0
20190607,1.38,1.67,1.38,1.65,2029,0
20190610,1.8,1.92,1.54,1.54,10481,0
20190611,1.7,1.7,1.6,1.6,3010,0
20190612,1.55,1.6,1.2701,1.2701,12035,0
20190614,1.42,1.76,1.42,1.6,3876,0
20190617,1.5,1.85,1.5,1.773,1915,0
20190618,1.8,1.99,1.8,1.85,3883,0
20190619,1.68,1.731,1.6,1.6,4947,0
20190620,1.65,1.7622,1.65,1.7622,459,0
20190621,2,2,1.85,1.97,5442,0
20190624,2,2,1.76,1.87,6199,0
20190625,1.94,1.94,1.75,1.75,11433,0
20190626,1.75,1.77,1.75,1.77,881,0
20190627,1.62,1.87,1.62,1.87,636,0
20190628,1.92,1.92,1.75,1.75,1005,0
20190701,1.96,2.1,1.83,2.09,12546,0
20190702,2.1894,2.2,2.0582,2.0582,2869,0
20190703,2.05,2.0868,2.01,2.01,2449,0
20190705,2.19,2.2,2.18,2.2,983,0
20190708,2.24,2.92,2.23,2.45,7277,0
20190709,2.3082,2.3082,1.95,2.15,2391,0
20190710,2.2,2.31,2.2,2.31,1718,0
20190711,2.16,2.16,2.04,2.04,528,0
20190712,2.06,2.07,1.84,1.84,2502,0
20190715,1.84,1.84,1.84,1.84,2361,0
20190717,1.77,1.7788,1.42,1.42,6091,0
20190718,1.42,1.45,1.33,1.45,2330,0
20190719,1.45,1.5,1.31,1.5,2449,0
20190722,1.46,1.46,1.45,1.45,2474,0
20190723,1.45,1.45,1.45,1.45,24,0
20190724,1.6146,1.6146,1.6146,1.6146,560,0
20190725,1.6,1.6,1.45,1.45,2602,0
20190726,1.31,1.31,1.31,1.31,567,0
20190729,1.25,1.35,1.2,1.2,1250,0
20190730,1.2,1.22,1.2,1.2,7427,0
20190731,1.2667,1.2966,1.2667,1.2901,1494,0
20190801,1.29,1.29,1.17,1.17,1123,0
20190802,1.2,1.24,1.2,1.2,8880,0
20190805,1.1,1.2,1.1,1.15,1483,0
20190806,1.01,1.08,1,1.07,2186,0
20190807,1.06,1.06,1,1.0426,4360,0
20190808,0.81,1.15,0.81,0.86,12181,0
20190809,0.93,0.9318,0.91,0.9318,506,0
20190812,1,1.1,0.99,1.08,3012,0
20190814,0.96,1.2,0.95,1.2,1459,0
20190815,1.15,1.15,1.05,1.05,1111,0
20190816,1.0844,1.0844,1.03,1.03,2882,0
20190819,1.15,1.1792,1.15,1.1792,2098,0
20190820,1.2,1.3,1.2,1.3,2291,0
20190821,1.33,1.35,1.285,1.285,613,0
20190823,1.25,1.25,1.25,1.25,175,0
20190826,1.25,1.2578,1.25,1.25,814,0
20190827,1.23,1.2337,1.15,1.15,4363,0
20190828,1.07,1.08,1.06,1.06,988,0
20190829,1.08,1.08,1.05,1.05,2742,0
20190830,1,1,1,1,1110,0
20190903,0.99,0.99,0.82883,0.8436,3654,0
20190904,0.9,1.01,0.9,1.01,1151,0
20190905,1.1255,1.1255,1.07,1.07,727,0
20190906,1.05,1.1,0.95,0.95,1953,0
20190909,1.19,1.22,1.1297,1.22,4390,0
20190910,1.12,1.48,1.12,1.48,7412,0
20190911,1.315,1.315,1.12,1.21,852,0
20190912,1.15,1.15,1.1,1.1,1746,0
20190913,1.0764,1.15,1.0764,1.15,840,0
20190916,1.16,2.05,1.16,1.9988,23092,0
20190917,1.5,1.5,1.32,1.32,730,0
20190918,1.28,1.29,1.2277,1.2277,582,0
20190919,1.1574,1.3,1.1574,1.3,598,0
20190923,1.16,1.65,1.16,1.65,2354,0
20190924,1.54,1.54,1.2,1.2,3275,0
20190926,1.18,1.18,1.18,1.18,513,0
20190927,1.06,1.06,1.02,1.03,871,0
20190930,1.04,1.04,0.95,0.9742,5112,0
20191001,0.97,0.97,0.84,0.84,6856,0
20191002,0.84,0.9899,0.84,0.86894,875,0
20191003,0.86,0.86,0.8565,0.8565,2429,0
20191004,0.86,0.95,0.801,0.8011,6943,0
20191007,0.72,0.75968,0.72,0.7503,3961,0
20191008,0.8,0.82,0.7969,0.82,3033,0
20191009,0.78255,0.78255,0.72,0.72,8468,0
20191010,0.72,0.73154,0.6401,0.73,3968,0
20191011,0.73,0.89,0.6501,0.8,3815,0
20191014,0.66,0.67,0.66,0.67,373,0
20191015,0.64,0.64,0.64,0.64,1218,0
20191016,0.458,0.55263,0.458,0.55263,732,0
20191017,0.56,0.58,0.56,0.57,3255,0
20191018,0.6,0.8,0.6,0.79,3295,0
20191021,0.71,0.77,0.71,0.75,1648,0
20191022,0.75,1,0.75,1,1083,0
20191023,1,1,0.7501,0.9,10552,0
20191024,0.76,0.9,0.76,0.9,2871,0
20191025,0.76,0.8998,0.76,0.8998,1732,0
20191028,0.9,0.9,0.9,0.9,452,0
20191029,1.01,1.11,0.9,0.9,19595,0
20191030,0.96,0.98,0.96,0.96,1701,0
20191031,0.96,0.9991,0.9,0.9,3543,0
20191101,0.76,1.06,0.76,1.06,4281,0
20191104,1.1,1.2591,1,1,4925,0
20191105,0.81,1.13,0.81,1.13,2267,0
20191106,1.1,1.2,1.07,1.2,2954,0
20191107,1.11,1.2,0.97,1.05,6485,0
20191108,0.96,0.96,0.9,0.91,1671,0
20191111,0.89,0.89,0.89,0.89,481,0
20191112,0.82,0.96,0.77,0.96,1769,0
20191113,0.89,0.89,0.86,0.8839,3473,0
20191114,0.83,0.85,0.78,0.85,3769,0
20191115,0.76,0.92,0.76,0.92,931,0
20191118,0.83,0.86,0.7822,0.85,1127,0
20191119,0.77,0.77,0.7525,0.7525,466,0
20191120,0.72,0.86,0.72,0.86,2240,0
20191121,0.78,0.8666,0.78,0.78,1945,0
20191122,0.77,0.95,0.77,0.95,2000,0
20191125,1,1.015,0.96,1.015,1907,0
20191126,1.02,1.02,0.9363,0.9463,5992,0
20191127,0.86,0.87496,0.77,0.87496,504,0
20191129,0.79,0.8001,0.79,0.8,776,0
20191202,0.8,0.8,0.78,0.8,1586,0
20191203,0.77,0.82,0.77,0.82,3452,0
20191204,0.7,1.07,0.7,0.9,17445,0
20191205,0.81,0.95,0.81,0.9459,683,0
20191206,0.86,1.04,0.84,0.8701,10059,0
20191209,0.8701,1.25,0.8701,1.2,9569,0
20191210,1,1.25,0.95,1.08,8317,0
20191211,1,1.67,1,1.35,21494,0
20191212,1.35,1.4998,1.32,1.34,1971,0
20191213,1.03,1.3702,1.01,1.04,1513,0
20191216,1.24,1.54,1.16,1.244,6717,0
20191217,1.4,1.5115,1.24,1.29,9978,0
20191218,1.3,1.5,1.3,1.36,7240,0
20191219,1.33,1.33,1.2,1.2,3492,0
20191223,1.3,1.45,1.3,1.45,2361,0
20191224,1.5,1.56,1.5,1.56,1196,0
20191226,1.64,1.75,1.58,1.58,5059,0
20191227,1.6,1.6798,1.6,1.61,2812,0
20191230,1.6715,1.713,1.65,1.65,5471,0
20191231,1.65,1.7088,1.61,1.61,16078,0
20200102,1.6,1.72,1.6,1.608,1587,0
20200103,1.65,1.9,1.65,1.9,11372,0
20200106,2,2,1.77,1.77,15491,0
20200107,1.8,1.8035,1.795,1.8,18944,0
20200108,1.63,1.63,0.98,1.02,37382,0
20200109,1.05,1.08,0.92,1.03,5088,0
20200110,0.89,1.06,0.89,1.0464,3025,0
20200113,0.91,0.97,0.8901,0.96,5418,0
20200114,1.01,1.0745,1.01,1.0745,2134,0
20200115,0.98,0.98,0.89,0.9768,6546,0
20200116,1.1,1.171,1.06,1.17,2923,0
20200117,1.2,1.28,1.15,1.2744,18449,0
20200121,1.3,1.3,0.9002,0.9002,16971,0
20200122,0.92,0.94,0.82,0.825,11906,0
20200123,0.8,0.84,0.7,0.8,11239,0
