Date,Open,High,Low,Close,Volume,OpenInt
20151221,6,6,5.11,5.25,5000,0
20151222,5.35,6.19,5.35,6,14877,0
20151223,5.93,5.93,5.92,5.92,200,0
20151228,6.1,6.2,6.1,6.2,208,0
20151229,6.172,6.3,6.172,6.2,1512,0
20151230,6.25,6.25,5.92,5.92,1730,0
20151231,5.83,6.2,5.5,6.1298,17118,0
20160104,6.1,6.1,6,6,700,0
20160105,6.2,6.22,6.17,6.2035,6390,0
20160106,6.15,6.2,6.15,6.2,600,0
20160107,6.12,6.12,6.0001,6.05,4200,0
20160108,6.07,6.07,5.9109,5.9109,1820,0
20160111,5.9115,5.9115,5.85,5.85,4257,0
20160112,5.81,5.85,5.81,5.85,489,0
20160113,5.8949,5.8949,5.81,5.81,1050,0
20160114,5.81,5.81,5.8,5.8,1890,0
20160115,5.75,5.75,5.5,5.5,5341,0
20160119,5.69,5.69,5.58,5.58,400,0
20160120,5.58,5.65,5.25,5.33,15025,0
20160121,5.3347,5.35,5.29,5.29,2430,0
20160122,5.4094,5.4094,5.35,5.354,2089,0
20160125,5.3745,5.45,5.34,5.4071,2491,0
20160126,5.529,5.7,5.529,5.7,3076,0
20160127,5.61,5.99,5.6,5.99,5447,0
20160128,5.98,5.98,5.98,5.98,946,0
20160129,5.91,5.99,5.91,5.99,3098,0
20160201,5.95,5.98,5.95,5.98,1026,0
20160202,5.85,5.88,5.85,5.85,1786,0
20160203,5.751,5.89,5.751,5.85,2346,0
20160204,5.84,5.84,5.8,5.84,766,0
20160209,5.79,5.79,5.79,5.79,779,0
20160210,5.79,5.8,5.79,5.8,1179,0
20160211,5.79,5.84,5.79,5.83,779,0
20160216,5.74,5.79,5.72,5.76,1617,0
20160217,5.79,5.79,5.79,5.79,400,0
20160218,5.8,5.85,5.79,5.85,2768,0
20160219,5.89,5.89,5.89,5.89,700,0
20160222,5.94,5.99,5.94,5.99,4594,0
20160223,5.99,5.99,5.95,5.95,4072,0
20160224,5.86,5.91,5.85,5.851,12723,0
20160225,5.89,5.99,5.8,5.99,10206,0
20160226,5.99,6.1,5.99,6.1,1972,0
